rank	username	minecraft:dropped/minecraft:light_gray_concrete_powder
1	thewindmillman	2272
2	jcool7	1190
3	Blaiku	576
4	SkateboardR6	386
5	joethahobo	362
6	Jackattack53	344
7	Groundler	329
8	kekhon	320
9	Uzbeki_John	256
9	Steelynan	256
11	Zoeyfortnite	224
12	Spenduh	170
13	ImpavidArcher	152
14	lordpipe	146
15	Onennon	128
15	Katthaj	128
17	egglapras	90
18	eitanzaki	74
19	Akoot_	72
20	Blackberry1310	66
21	fffMike	65
22	Mahoose	64
22	UCP_TheKingK	64
24	lillips	61
25	mihimihimihi	52
26	Ssor69	35
27	oxfordschool	34
28	KingMatthew506	30
29	beeperbeeper5	24
29	The_slideV3	24
31	Blu3beast	13
32	pintsizedrogue	8
32	r123moore	8
34	MyNameIsDakar	7
34	claivin	7
36	6king6colt6	6
37	noam464	5
38	thescout7	4
38	Shogunite	4
40	Rox_The_Box	3
40	YungMaki	3
40	Nicserso	3
43	Frozil20	2
43	chipklip	2
43	Sheldor097	2
46	I_Am_Mushkin	1
46	RobotMinion101	1
46	alderban107	1
46	Sral7	1
46	remmisrat	1
