rank	username	minecraft:dropped/minecraft:polished_granite_slab
1	Smoke____	596
2	_czarny	191
3	fred870d	64
3	Freak_Genius	64
5	TheThomas69	61
6	Kakolbus	43
7	AlphaWolfPlaysMC	42
8	ImpavidArcher	35
9	sebastiensaborio	27
10	Fullut	24
11	SaucyDark	19
11	CalebDHawk	19
13	chipklip	16
14	PigDab	15
15	beeperbeeper5	11
16	Merv__	6
16	Mahoose	6
16	_Karmaa	6
16	BlankityMcBlank	6
20	Akoot_	5
21	awesomeoneme	4
22	eitanzaki	3
22	joethahobo	3
22	EveryonesUncle	3
25	andy_rex	2
25	valkam13	2
25	DarlaMeow	2
28	ShedJr_	1
28	Kkanot	1
28	Doom_melon	1
28	Werbe	1
28	AssEatrAndLicker	1
28	Frozil12	1
28	Soplight	1
28	stahouo	1
