rank	username	minecraft:dropped/minecraft:magma_cream
1	noam464	3129
2	Di_infiri	474
3	k1ngGilgamesh	448
4	eitanzaki	280
5	Fullut	154
6	Frozil12	148
7	thewindmillman	141
8	Blackberry1310	131
9	Blaiku	121
10	Hyp3rion_	98
11	vandmanden	92
12	beeperbeeper5	86
13	Cowison	81
14	PigDab	62
15	PortlyPete69	59
16	RebelAndroid	56
17	Chromary	54
18	Zythose	51
19	Winklepicker279	44
20	Segotep999	40
21	Ninzyyy	37
22	chipklip	31
22	Kyrum2169	31
24	T045RTY	30
25	YungMaki	29
26	Groovy_MoonBird	24
26	TechnoNinja64	24
28	gcaisawesome	23
28	Rasmanden	23
28	HellsSponge	23
31	stahouo	22
32	kekhon	21
33	CoffeeNoir	20
33	Arceus1975	20
33	FishisTTV	20
36	DarlaMeow	16
36	Spacewardharpy7	16
38	youhjjhhhjj	14
38	Strangemonkey71	14
38	EcksD	14
38	Zoeyfortnite	14
42	claivin	13
42	Dogcorn69420	13
44	AssFullaCum	12
45	m_be9	11
45	stavgod	11
45	Eraxa	11
45	oxfordschool	11
49	thescout7	10
50	NomadicRobin_	9
50	lordpipe	9
50	jnp_gaming	9
53	I_Am_Mushkin	8
53	BronkerBrum	8
53	RobotMinion101	8
53	AltnumberF4	8
57	Furiuosbeast0404	7
57	Rumpletaezer	7
57	Snowflowe	7
57	EveryonesUncle	7
57	Freak_Genius	7
57	Xclax101	7
63	livingdaydreams	6
63	TheSecondLord	6
63	SteveCraftBlocks	6
63	ebanana	6
63	GravitySaint	6
63	SkateboardR6	6
69	set67	5
69	lizardfightclub	5
69	Lord_Jord	5
69	Spenduh	5
69	Nicserso	5
74	ShedJr_	4
74	_Dean_123	4
74	mwrty	4
74	Mattesco	4
74	HolyVenom	4
74	SvenskaHugo	4
74	pixelviolin	4
74	PlasticOtari	4
74	Smoke____	4
83	hm947	3
83	lotarp	3
83	FirsTimeGamingTV	3
83	SellyZ	3
83	fred870d	3
83	Kynigito	3
83	lillips	3
83	Blu3beast	3
83	KG1999	3
83	FelixPSY375	3
83	2blox	3
83	diggydog67	3
95	Da_Boss_Rani	2
95	12Magner05	2
95	Xalithia	2
95	XboxPanda	2
95	Kakolbus	2
95	Jonte0599	2
95	gustarbite	2
95	LexMakesHistory	2
95	YungWali	2
95	Garrulous	2
95	Racengan	2
95	Optiprimus	2
95	Kowcio_	2
95	DennyKai	2
95	Vellu21	2
95	Skippeh	2
95	EcksDofficial	2
95	Teebone15	2
113	xyct	1
113	teslawolf38	1
113	ColeSnyder	1
113	ImpavidArcher	1
113	SaucyDark	1
113	Nicky_H225	1
113	Guillemet	1
113	_Nuf	1
113	500am	1
113	ROY4LE	1
113	ApophisNova	1
113	bee_gorl	1
113	Maenara	1
113	ChrisKyleST3	1
113	AlphaWolfPlaysMC	1
113	DanTheBuilderino	1
113	censorsheep	1
113	Groundler	1
113	djancak	1
113	Soplight	1
113	APS_Dan	1
113	krutas2000	1
113	Njensen7	1
113	Hermanni__	1
113	Kubeusz2010	1
113	Ezekson	1
113	Quotary	1
113	MyNamaSheff	1
113	Powowowow	1
113	the_cocos	1
