rank	username	minecraft:dropped/minecraft:redstone_block
1	thewindmillman	768005
2	EcksD	21582
3	noam464	17600
4	eitanzaki	2886
5	Blaiku	2269
6	PhantomsGhost_	1909
7	Di_infiri	1899
8	Werbe	1601
9	Hyp3rion_	1472
10	EMC_	1372
11	Blu3beast	1349
12	Invisie	1102
13	Skippeh	1024
14	_Nuf	971
15	oxfordschool	968
16	kekhon	906
17	TildaAndrea	832
18	Inbefour	646
19	rarrq	470
20	HellsSponge	427
21	SammiWolfGirl	380
22	TechnoNinja64	373
23	SteveCraftBlocks	370
24	Soap_Bender	361
25	m_be9	360
26	lillips	356
27	Smoke____	350
28	Kamflame10	343
29	censorsheep	320
30	diamondgolem35	296
31	kinas45y5	277
32	Nicserso	272
33	Awyrlas	264
34	Motsaro	256
35	PigDab	255
35	Ezekson	255
37	pintsizedrogue	230
38	k1ngGilgamesh	219
39	Enderslayerxz3	214
40	jnp_gaming	204
41	Groundler	196
42	Hiryu27	194
43	KarlKaek	192
43	CompAir	192
43	Swexti	192
43	ImDisconnected_	192
43	Spacewardharpy7	192
43	WyngGoy	192
49	SaucyDark	187
50	Freak_Genius	182
51	MovingFish7	162
52	_Virify_	155
53	Cocoamallows	150
54	Fullut	148
55	Akoot_	145
56	2Stout	144
57	r123moore	134
57	gabriels543	134
59	emrekn	129
60	MyNameIsJobo	128
60	NomadicRobin_	128
60	GlitchyPlate810	128
60	Kubeusz2010	128
64	Sleek_Storm_721	127
64	joethahobo	127
66	beeperbeeper5	125
67	airbkane	109
67	jcool7	109
69	Juk3b0x	103
70	Mahoose	97
70	Eczbek	97
72	Wooptey	96
73	fr0stss	94
74	MightyWertu	92
75	JMK208	88
76	thescout7	87
77	Marbz_	85
78	Hisiste	84
79	anbbang	81
80	6king6colt6	79
80	Snowflowe	79
82	InfernalMound	74
83	MattieHD	72
83	CaptainDeadBread	72
83	seramalen	72
86	GoofyBread	68
86	h2p_emrld	68
88	peachfuzz1267	64
88	Reamdin	64
88	Euclidoris	64
88	set67	64
88	ROY4LE	64
88	Skylord_Luke	64
88	izzybearh	64
88	djancak	64
88	PA_Tech_Gaming	64
97	jushykins	62
97	Jordan_R	62
99	jewbacaman	57
100	awesomeoneme	55
100	Fuad_R	55
100	FallenCorps	55
103	jacxhadow	54
104	PlasticOtari	51
105	ProbablyNick	50
105	The_slideV3	50
105	Soplight	50
108	mwrty	49
108	KingMatthew506	49
110	surfinggiraffejp	48
110	PuFY	48
112	Gooberkid223	47
112	NotMeowMix	47
114	Lord_Jord	46
115	ProfessorBee	45
116	fluddd	44
117	YungMaki	43
118	Spenduh	42
119	Blackberry1310	41
119	Quaintster	41
121	lotarp	39
122	Ecplosive	37
122	vandmanden	37
124	lordpipe	36
125	ColeSnyder	34
126	soundad	32
126	M_Patata	32
126	MasterNueve	32
126	Powowowow	32
130	Winklepicker279	29
131	Iagoku	28
132	mariominejedi	27
133	eviltunix	24
133	NameGenerat0r	24
133	00000000-0000-0000-0009-01f80c5e9346	24
136	prizm_	23
137	Zythose	22
137	MysticalKitty139	22
139	JEWISHBadenBeele	21
139	TheSecondLord	21
139	MrExplorer	21
139	Shogunite	21
139	__tomato	21
144	Xclax101	20
144	Rainaldus	20
146	elmer1234	19
147	DarlaMeow	18
148	BobDeBouwer1337	17
148	SvenskaHugo	17
150	Donutt	15
151	AvaRosey	14
152	Afinnity	13
152	RobotMinion101	13
154	BoraMC	12
154	DaviusMaximoose	12
156	picardred	11
156	Winston_Ingram	11
158	gcaisawesome	10
159	ApophisNova	9
159	Wowful	9
159	El_Jalapeno	9
159	MyNamaSheff	9
163	PhantomBionic	8
163	Vizzoid	8
163	bloodbiter	8
163	KG1999	8
163	EcksDofficial	8
168	XboxPanda	7
168	Razzgriz	7
168	ARCTICxLORD	7
171	egglapras	6
171	Frozil12	6
171	monky_irl	6
174	H72l9w	5
174	xxPipperDipperxx	5
174	GravitySaint	5
177	Cryptacity	4
177	Inchef	4
177	Chromary	4
177	groofles	4
177	EveryonesUncle	4
177	chipklip	4
177	stavgod	4
177	ediballbearings	4
177	CalebDHawk	4
186	T045RTY	3
186	TheThomas69	3
186	Jackattack53	3
186	Nagasaki_Riku	3
190	Wolf_Mauler_73	2
190	ImpavidArcher	2
190	Ozixar	2
190	Kkanot	2
190	RocketRidge	2
190	Nycteus_	2
190	Eraxa	2
190	PortlyPete69	2
198	Drlzyy	1
198	AuroraValkyrie	1
198	q_wq	1
198	Dedalus36	1
198	Prismyst	1
198	ShedJr_	1
198	eiC_	1
198	Arceus1975	1
198	Solar_Power	1
198	Bumpy419	1
198	fred870d	1
198	Hail_the_wombat	1
198	Maenara	1
198	FreddyFart	1
198	masskedman	1
198	1442	1
198	ItzWqlfy	1
198	Racengan	1
198	Warlord324	1
198	TheTommyGun63	1
198	Strangemonkey71	1
198	IdeallyGrey	1
198	pixelviolin	1
198	Kowcio_	1
198	starbits140	1
198	MilleGrug	1
198	RoboTramp7865	1
198	MeetTheWollo	1
198	Zoeyfortnite	1
