rank	username	minecraft:dropped/minecraft:prismarine
1	Hyp3rion_	153646
2	diamondgolem35	12757
3	gcaisawesome	7915
4	noam464	7704
5	Hisiste	3904
6	Spacewardharpy7	2917
7	Ezekson	2012
8	FreakGenius	1862
9	thewindmillman	1837
10	eitanzaki	1650
11	Enderxz3	1599
12	Vorlice	1466
13	DarlaMeow	1462
14	Blaiku	887
15	S4tox	768
16	Lez_	628
17	I_Am_Mushkin	566
18	Blu3beast	526
19	thescout7	512
20	KarlKaek	448
21	Akoot_	441
22	PhantomsGhost_	419
23	Groundler	394
24	StarCookiees_	320
25	Bumpy419	309
26	xDraggin	292
27	Mahoose	278
28	xzvu	250
29	jcool7	247
30	powercas_gamer	226
31	_Dean_123	217
32	Fullut	201
33	CliffEmAll	194
34	Paintz	192
34	TechnoNinja64	192
36	beeperbeeper5	174
37	MilleGrug	129
38	pintsizedrogue	128
38	Rasmanden	128
38	Tyrannosplart	128
38	SlinkyPinky	128
38	Shogunite	128
43	MovingFish7	115
44	kekhon	113
45	lordpipe	112
46	ImpavidArcher	103
47	EcksD	97
48	MightyWertu	95
49	Soplight	94
50	Fuad_R	86
51	skitzxo	82
52	Di_infiri	79
53	crashomon	75
54	TheSandwhich_	71
55	FishisTTV	70
56	CLG_Kata	64
56	Arceus1975	64
56	True_Clipse	64
56	Eraxa	64
60	12Magner05	62
61	dimondking777	56
61	Alteriity	56
63	mihimihimihi	54
63	Yamdalorian	54
65	rarrq	53
66	MattieHD	50
67	Jimb0nat0r	49
68	Inbefour	48
69	ratglock	47
70	Merv__	36
71	Nicserso	35
72	k_ce	34
73	Kakolbus	33
73	HellsSponge	33
73	Kowcio_	33
76	PigDab	32
76	Segotep999	32
78	hm947	31
79	Apollo_993	30
79	Hiryu27	30
81	YungMaki	29
81	Iamthejo	29
83	John6970	28
84	lizardfightclub	26
85	Jackattack53	24
85	NameGenerat0r	24
87	Zoeyfortnite	23
88	shineh10	19
89	Racengan	18
90	royal_2	17
90	surfinggiraffejp	17
92	luseis	16
92	Vellu21	16
92	vandmanden	16
95	Iagoku	15
95	RebelAndroid	15
95	500am	15
95	Fast_Turtle	15
99	Dogcorn69420	14
100	ECstardust	12
100	eposlul	12
100	Zythose	12
103	shadowthemonkey	11
103	Maenara	11
105	Groovy_MoonBird	10
105	Azmodan_246	10
107	Frozil20	9
107	gren_ben	9
109	myaccountwasgone	8
109	Incinere	8
109	Comma__	8
109	Inchef	8
109	thgrocks	8
109	EveryonesUncle	8
109	Powowowow	8
116	platinumzero	7
116	Onennon	7
116	Xclax101	7
116	Kyrum2169	7
120	Hydro___________	6
120	UrbanPlanningEx	6
122	joethahobo	5
122	Blackberry1310	5
122	Hetti301	5
122	Hahaa_0	5
122	jnp_gaming	5
127	livingdaydreams	4
127	MinttyFressh	4
127	Chromary	4
127	YungWali	4
127	blackeemperor	4
127	__tomato	4
127	non089	4
134	elicobnoah	3
134	SmashingPump	3
134	EMC_	3
134	T045RTY	3
134	Da_Boss_Rani	3
134	Secret_Canary	3
134	NomadicRobin_	3
134	EngagedGrub41	3
142	j5ylim	2
142	Natty	2
142	ZaneABrain	2
142	MSK__	2
142	Gregward_Smith	2
142	MrKrabOnCoke	2
142	corvidpartyfor6	2
142	mwrty	2
142	ROY4LE	2
142	legal_tax_evader	2
142	TheWildMateo	2
142	Mattesco	2
142	Klerick	2
142	TheTommyGun63	2
142	CalebDHawk	2
142	_3Stump_	2
142	Steelynan	2
142	ConnorDanky_	2
142	h2p_emrld	2
161	Sabby65	1
161	_Razaria	1
161	Vensterbankje	1
161	Huwulling	1
161	Notta	1
161	TheSecondLord	1
161	m_be9	1
161	Smashic	1
161	Kkanot	1
161	Awyrlas	1
161	eviltunix	1
161	xxPipperDipperxx	1
161	M_Patata	1
161	Rumpletaezer	1
161	RebytreGT	1
161	ooga47	1
161	AlexxO_o	1
161	IamCL4SSY	1
161	Lord_Jord	1
161	fw3xy74	1
161	fkGrim	1
161	_Karmaa	1
161	DarkLawD	1
161	MasterNueve	1
161	iSammael	1
161	MakeHistory157	1
161	_Mythic____	1
161	SvenskaHugo	1
161	Pumpkin_P_Patch	1
161	Spenduh	1
161	miramyu	1
161	ProbsNotNova	1
161	Skippeh	1
161	Sral7	1
161	trexgb	1
