rank	username	minecraft:dropped/minecraft:ender_pearl
1	eiC_	24428
2	EcksD	22040
3	HellsSponge	20481
4	vandmanden	17939
5	TheSeismicDuck	16893
6	Eczbek	16871
7	Bumpy419	16396
8	Frozil20	16325
9	MangoTheFish	15468
10	PigDab	15014
11	masskedman	12660
12	The11thDoctor	12398
13	MightyWertu	12295
14	Hyp3rion_	12210
15	thewindmillman	11952
16	Mewar	11577
17	TooManyDuck	11404
18	lordpipe	10986
19	Mahoose	9703
20	Skippeh	9048
21	claivin	8885
22	xzvu	8626
23	ApophisNova	8397
23	MyNamaSheff	8397
25	kekhon	8357
26	gcaisawesome	8204
27	Blackberry1310	7928
28	Smashic	7584
29	Ezekson	7188
30	Touched_Bread	7171
31	Snowflowe	7085
32	luseis	6707
33	Noah_Bez	6513
34	Akoot_	6251
35	eitanzaki	6179
36	mwrty	5891
37	Di_infiri	5669
38	Blu3beast	5643
39	SvenskaHugo	5589
40	Esme_1	5371
41	PhantomsGhost_	5310
42	MattieHD	5299
43	SamZombie	5149
44	Zoeyfortnite	5127
45	El_Jalapeno	5095
46	Rasmanden	5089
47	Werbe	4989
48	ProfessorBee	4833
49	RealGroot	4830
50	12Magner05	4742
51	Ender_Souls	4693
52	EveryonesUncle	4606
53	Racengan	4572
54	Zythose	4530
55	Fuhrer_Teemo	4491
56	SaucyDark	4490
57	FreakGenius	4363
58	beeperbeeper5	4325
59	Kubeusz2010	4311
60	Eraxa	4263
61	Steelynan	4191
62	Lepthymo	4153
63	TheTrueClipse	3934
64	BreadBacon	3882
65	Legendosh	3872
66	fluddd	3807
67	wezzzi	3780
68	TheSecondLord	3773
69	NotKaden_	3771
70	Fullut	3740
71	noam464	3556
72	Mr_Byzantine	3457
73	WyngGoy	3441
74	gary_	3348
75	fade_emerge78823	3322
76	RobotMinion101	3317
76	YungMaki	3317
78	500am	3299
79	PortlyPete69	3262
80	Groovy_MoonBird	3244
80	_Nuf	3244
82	Karbl	3233
83	__tomato	3213
84	1442	3159
85	jcool7	3130
86	IamCL4SSY	3054
87	weabis	3008
88	Onennon	2899
89	Professor_x8	2792
90	Hyugo	2785
91	joethahobo	2742
92	GoofyBread	2718
93	Maenara	2706
93	SpacesickPrism	2706
95	rarrq	2684
96	audiocracked	2662
97	Tyrannosplart	2592
98	ougstur	2582
99	fw3xywashere	2555
100	33sudo	2542
101	Hiryu27	2538
102	NomadicRobin_	2531
103	SellyZ	2506
104	Cowison	2480
105	6king6colt6	2475
106	_Yonk_	2473
107	Kura2218	2438
108	AuroraSkies	2410
108	Blaiku	2410
110	NameGenerat0r	2398
111	EMC_	2368
112	AlphaWolfPlaysMC	2343
113	xDraggin	2321
114	Zetsey	2292
115	Njensen7	2290
116	Comma__	2228
117	mihimihimihi	2193
118	HesDemonPants	2140
119	Lord_Jord	2109
120	_Virify_	2074
121	Winklepicker279	2071
122	Dusk_95	2067
123	I_Am_Mushkin	2048
124	AuroraValkyrie	2028
125	LeEricc	2015
126	Kyrum2169	2014
127	Spacewardharpy7	1981
128	xxPipperDipperxx	1907
129	Arceus1975	1873
130	MustaLoordi	1848
131	peach0s	1836
132	diamondgolem35	1833
133	ItzWqlfy	1827
134	The_Quack_Dealer	1792
135	Cocoamallows	1770
136	WET_WET_WET	1754
137	Fizznut909	1747
138	TheOnlyRake	1736
139	Awyrlas	1711
140	thescout7	1687
141	Jimb0nat0r	1648
142	H0UNDFRMH3LL	1643
143	SmashingPump	1640
144	h2p_emrld	1616
145	NinjaKnifeKill	1583
146	SuperPooch06	1549
147	Jackattack53	1529
148	Chromary	1502
149	set67	1477
150	Smoke____	1469
151	ImpavidArcher	1417
152	Wowful	1375
153	tsitrawhy	1371
154	_Karmaa	1361
155	q_wq	1330
156	Fuad_R	1327
157	SpouHn	1324
158	jnp_gaming	1314
159	Strangemonkey71	1305
160	AngalexikCZ	1299
161	ayamefag	1293
162	Hpdinosaur	1283
163	Hoid_the_Roamer	1258
164	pintsizedrogue	1233
165	SvenskaAlvar	1230
166	Hisiste	1206
167	T045RTY	1190
168	Kowcio_	1188
169	KingFaenor	1183
170	UncreativeArtist	1171
171	wTXop	1152
172	Groundler	1142
173	k_ce	1127
174	SeverianTheLame	1123
175	PlasticOtari	1122
176	Deathkob	1120
177	NotP0tato	1117
177	NotTrixi	1117
179	Megarboh	1111
180	Quaintster	1104
181	SkateboardR6	1087
182	epiksk8erduck	1086
183	Huwulling	1048
184	Wooptey	1047
185	binman420	1037
186	PuFY	1014
187	Powowowow	992
188	F_Uhre	987
189	legal_tax_evader	984
190	Typadopoulos	977
191	C0oOK13M0N5T3R	975
192	mariominejedi	954
193	Batman922	942
194	TheOuterCore	940
195	Queen_Jalapeno	931
196	trexgb	918
197	Natty	909
198	ssleepless	908
199	Merv__	886
200	NatalieTW	874
201	sxc_	863
202	Warlord324	854
203	FishyBoy3811	843
204	surfinggiraffejp	837
205	lorpus	818
206	fkGrim	817
207	MilleGrug	805
208	Iagoku	802
209	Masssonnn	793
210	PlzNoBM	790
211	The_slideV3	788
212	Iamthejo	784
213	Septemb3r	783
214	Soplight	776
215	GlitchyPlate810	775
216	Vizzoid	771
217	ediballbearings	767
218	Seyaboy	747
218	Inchef	747
220	TheDankPlatypus	743
221	Deodorante	742
222	SharpDev	740
223	FelixPSY375	730
224	JayToe	722
225	potatocan	713
226	Lez_	698
227	MinttyFressh	697
228	Skomo	695
229	Kekoo	690
230	stavgod	676
231	Hermanni__	675
232	Soap_Bender	672
233	gabriels543	670
234	Physics_Breaker	666
235	m_be9	663
235	layabout100	663
237	alderban107	659
238	OverallConcept	658
238	Smaldo	658
240	groofles	654
241	_Dean_123	646
242	AlexxO_o	644
243	RoskobiOne	638
244	JohnnyFyes	637
245	emrekn	627
246	Da_Boss_Rani	613
247	Dan_Scha	612
248	Covalents	599
249	Sheldor097	596
250	ZA07	594
251	fffMike	590
252	geekbird	586
253	RoofTyler	584
254	TheALV	581
255	Secret_Canary	570
255	Xalithia	570
257	07shiny	560
258	ThePoliteG	558
259	DennyKai	544
260	Katthaj	542
261	obzii	531
262	soundad	522
263	_Bguette_	521
264	Scathra	520
265	H72l9w	506
266	LeDuctTape	505
267	TechnoNinja64	502
268	SpaceGrenadier	501
269	brofrickcheaters	492
270	Rebytre	490
271	stevewithclout	485
272	OG_Songsee	483
273	PazinGaming	481
273	AmbroseForLife	481
275	Xclax101	480
276	TheShyPig	478
