rank	username	minecraft:dropped/minecraft:orange_bed
1	mwrty	44
2	Soplight	18
3	beeperbeeper5	11
4	Groovy_MoonBird	8
4	Di_infiri	8
6	RebelAndroid	6
6	EcksD	6
8	Smoke____	5
9	pintsizedrogue	3
9	SkateboardR6	3
9	Kyrum2169	3
9	laron58	3
13	fw3xywashere	2
13	Racengan	2
15	SugarMyNuggets	1
15	joethahobo	1
15	Stright_	1
15	Blackberry1310	1
15	Cryptacity	1
15	500am	1
15	noam464	1
15	Chromary	1
15	burbankbuilder28	1
15	Rebytre	1
15	Akoot_	1
15	MyNameIsDakar	1
15	HellsSponge	1
15	El_Jalapeno	1
15	Blu3beast	1
15	fluddd	1
15	Blaiku	1
15	lordpipe	1
15	Burge_r	1
15	Kowcio_	1
15	__tomato	1
15	xolstoi	1
