rank	username	minecraft:dropped/minecraft:birch_sign
1	beeperbeeper5	484
2	noam464	456
3	lordpipe	374
4	EcksD	313
5	kekhon	248
6	Lez_	152
7	Werbe	126
8	eitanzaki	120
9	PigDab	118
10	pintsizedrogue	116
11	lillips	111
12	Ryan_GEMS	106
13	EtherealEspresso	96
14	NomadicRobin_	89
15	Tyrannosplart	83
16	Jordan_R	70
17	AdmiralSmoke	66
18	xzvu	64
19	SteveCraftBlocks	49
19	Legendosh	49
21	luseis	48
22	PortlyPete69	44
23	Hyp3rion_	38
24	Spacewardharpy7	34
25	_Huge_Male_	32
25	thewindmillman	32
27	T045RTY	31
28	ADEXTV	30
29	_Mythic____	29
30	Huwulling	28
30	YungMaki	28
32	FreakGenius	27
32	Blaiku	27
34	joethahobo	25
34	Kura2218	25
36	PazinGaming	24
36	ImpavidArcher	24
36	Akoot_	24
39	Blu3beast	23
40	lizardfightclub	22
40	Vellu21	22
42	Njensen7	21
42	vandmanden	21
44	Frozil20	19
44	rarrq	19
44	Blackberry1310	19
47	Paint	18
47	bigstankyy	18
47	Skylord_Luke	18
47	Ezekson	18
51	Merv__	17
51	Mahoose	17
51	Di_infiri	17
51	Eraxa	17
55	LionelHutzESQ	16
55	Aiko_Kawashima	16
55	KingMatthew506	16
58	I_Am_Mushkin	15
58	AlexxO_o	15
58	Soplight	15
61	12Magner05	14
61	Fuad_R	14
61	Powowowow	14
64	Mr_Byzantine	13
64	Touched_Bread	13
64	ConnorDanky_	13
64	TechnoNinja64	13
68	ProfessorBee	12
68	_lildarki3	12
68	WET_WET_WET	12
68	Krowuss	12
72	CoffeeNoir	11
72	TheSecondLord	11
72	stavgod	11
72	Steelynan	11
72	jnp_gaming	11
72	Zoeyfortnite	11
78	ShedJr_	10
78	mwrty	10
78	burbankbuilder28	10
78	Mattesco	10
78	Kyrum2169	10
83	KarlKaek	9
83	himak1	9
83	Jackattack53	9
83	Rumpletaezer	9
83	Sheldor097	9
83	cichy096	9
89	Fullut	8
89	Afinnity	8
89	BreadBacon	8
89	HesDemonPants	8
93	ECstardust	7
93	fade_emerge78823	7
93	yheece	7
93	Arceus1975	7
93	TheShyPig	7
93	PuFY	7
93	fluddd	7
93	Optiprimus	7
93	Kubeusz2010	7
93	skrongus	7
103	lotarp	6
103	_Dean_123	6
103	Smashic	6
103	Awyrlas	6
103	Stiar	6
103	Chromary	6
103	Rasmanden	6
103	masskedman	6
103	HellsSponge	6
103	mihimihimihi	6
103	IAmTheWalrus910	6
103	Kowcio_	6
103	djancak	6
103	ediballbearings	6
103	xolstoi	6
118	Groovy_MoonBird	5
118	heckface	5
118	ROY4LE	5
118	TheWildMateo	5
118	F_Uhre	5
118	KeruNatsema	5
118	TheTrueClipse	5
118	Manaateee	5
118	NameGenerat0r	5
118	jaimshae	5
118	Spenduh	5
118	SammiWolfGirl	5
118	Winston_Ingram	5
131	Wooptey	4
131	Malorn_Aetherius	4
131	excelsionprime	4
131	thescout7	4
131	eviltunix	4
131	CollinMH06	4
131	Marbz_	4
131	Onennon	4
131	_Bguette_	4
131	Dakar_	4
131	OG_Songsee	4
131	MineMaster0012	4
131	Segotep999	4
131	Luigipunch989	4
131	SirBreadward	4
131	Quotary	4
147	EMC_	3
147	Prodiginus	3
147	TheDankPlatypus	3
147	Jonafrog99	3
147	ClemenPine	3
147	Inbefour	3
147	EveryonesUncle	3
147	Warlord324	3
147	SkateboardR6	3
147	Strangemonkey71	3
147	SvenskaHugo	3
147	AssFullaCum	3
147	jcool7	3
147	Eczbek	3
147	RadarHz	3
147	Nicserso	3
147	Jimb0nat0r	3
147	h2p_emrld	3
165	BlancoFlaco	2
165	hm947	2
165	jimintyy	2
165	SyntheticSurgeon	2
165	oreee	2
165	CliffEmAll	2
165	bloodbiter	2
165	Rich_Kat	2
165	TheDiamondCG	2
165	500am	2
