rank	username	minecraft:dropped/minecraft:tuff
1	thewindmillman	10752
2	Hyp3rion_	8949
3	non089	6133
4	Segotep999	3594
5	beeperbeeper5	3240
6	Jackattack53	2989
7	500am	2350
8	mihimihimihi	2303
9	Iamthejo	1638
10	Manaateee	1550
11	Smashic	1396
12	prizm_	1089
13	Kowcio_	1057
14	Lez_	887
15	YungMaki	818
16	LeauVox4921	732
17	Alteriity	706
18	12Magner05	700
19	QuiCreans	641
20	fade_emerge78823	637
21	AlexxO_o	620
22	fw3xy74	532
23	SvenskaAlvar	531
24	NATE_the_HALO	515
25	Fuad_R	497
26	groofles	496
27	zToasty69z	477
28	catandmoose	441
29	Weepingbiel	440
30	MuffinManzz	437
31	MrKrabOnCoke	425
32	Da_Boss_Rani	413
33	Njensen7	409
34	MinttyFressh	377
35	EcksD	372
36	KujikawaRisechi	371
37	UCP_TheKingK	362
38	PazinGaming	348
39	Skylord_Luke	311
39	fluddd	311
41	MilleGrug	298
42	EMC_	283
43	AuroraSkies	279
44	MC_Gamer_Geek	274
44	THEKINGLyric10	274
46	LeonelSalamanca	272
47	Mattesco	252
48	ChronoSounds	251
49	LeEricc	238
50	_Nat666	237
51	AltnumberF4	228
52	SvenskaHugo	223
53	CowOfTheNile	218
54	TheOuterCore	217
55	tuckerdoodle	215
56	Touched_Bread	211
57	k_ce	205
57	ECstardust	205
59	MAns_44	203
60	GooseWithin	202
60	luseis	202
62	T045RTY	192
63	hanaryheatwave	190
64	bearlystraight	188
65	Masssonnn	176
66	Kubelz	174
67	iSammael	169
68	_Huge_Male_	161
68	JitteryJared2	161
70	NoHaHeHa	158
71	AdmiralSmoke	152
72	Spenduh	150
73	gcaisawesome	148
74	noam464	143
75	CuzIm2Kev	139
76	_i_ERROR_i_	132
77	Moofyman	128
77	00000000-0000-0000-0009-01f26ea966c4	128
79	Crowman1	126
79	shadowthemonkey	126
81	xPixelRainx	125
82	Dakar_	123
83	crying_wolf_13	122
84	wwwwinnebagoooo	119
85	shrimp_flips	115
86	pintsizedrogue	111
86	hm947	111
88	Enderxz3	108
89	RebelAndroid	106
90	Nicserso	102
91	H0UNDFRMH3LL	99
92	coobert42	95
93	Wowful	94
94	Lord_Doob	92
95	Silvo614	90
96	weabis	88
97	SmashingPump	85
97	Skippeh	85
99	MogusBussy69	84
99	Hail_the_wombat	84
101	Dennid	82
102	SyntheticSurgeon	81
102	ItsDed	81
104	lordpipe	79
105	DabKeepaBlicky	78
106	bananamix994	75
107	itburb	73
108	Rebytre	72
109	Tiktola01	70
109	ConJaBz	70
111	Sharkbyte0	69
111	SpacesickPrism	69
113	jessewegottacook	67
113	ItsDeltaMC	67
115	ImpavidArcher	66
115	TheWildMateo	66
117	PhantomBionic	65
117	Sleepy_Time_	65
117	NLKBuilder	65
120	BPTY4618	64
120	nut_e	64
120	CattSoup	64
123	StinkyDiplomat	63
124	TheEnderMan548	62
124	Kekoo	62
124	calamariclam_I	62
127	ccwildfire1	60
127	Krowuss	60
129	Steve897	59
130	Kakolbus	58
131	Inchef	57
132	masskedman	56
132	zOnlyKroks	56
134	Spacewardharpy7	55
134	Aryamanee	55
136	AshleySpiritHawk	53
137	excelsionprime	52
138	Luminad3	51
139	Yahir091	49
140	ItsHydroMC	47
140	BronkerBrum	47
142	videogames_	46
142	RoBe__	46
144	Jonafrog99	45
144	IdeallyGrey	45
144	cichy096	45
147	diamondgolem35	44
147	Secret_Canary	44
149	Raspberry_Sodas	43
150	iElijah	42
151	Killercatty78	40
152	TheSecondLord	37
152	BenPenguin	37
154	Alfred603	36
155	Apollo_993	34
156	Mr_Byzantine	33
156	shineh10	33
156	Huwulling	33
159	_lildarki3	31
160	dawerty	30
160	TruestTurnip	30
162	Lord_Zacler	29
162	EveryonesUncle	29
164	Winklepicker279	28
165	Racengan	27
165	verynothing	27
165	kyouma777	27
168	RaiaMala_	25
169	DarkS0L	24
170	Lutres_	23
170	Soplight	23
172	RoskobiOne	22
172	PixelatedBoss	22
174	Mahoose	21
174	NieToksikpl	21
174	lillips	21
177	ChampPog_	20
177	Ezekson	20
177	00000000-0000-0000-0009-01f53dff86f7	20
180	mrnosetackle	19
180	SBean737	19
182	SquadMonster	18
