rank	username	minecraft:dropped/minecraft:sugar_cane
1	Hyp3rion_	428749
2	noam464	225093
3	Blaiku	161673
4	eitanzaki	142531
5	Rich_Kat	16756
6	thewindmillman	16487
7	F_Uhre	10436
8	EcksD	9282
9	FreakGenius	8481
10	Werbe	7435
11	TechnoNinja64	7409
12	mwrty	7362
13	joethahobo	6554
14	Smashic	6076
15	Jackattack53	6052
16	non089	4888
17	Frxnkz	4575
18	_Nuf	4492
19	beeperbeeper5	4127
20	mihimihimihi	4041
21	Di_infiri	3827
22	Soplight	3516
23	HellsSponge	3357
24	Spacewardharpy7	3019
25	k_ce	2845
26	diamondgolem35	2739
27	UCP_TheKingK	2633
28	lillips	2314
29	calamariclam_I	2201
30	Chromary	2018
31	thescout7	1906
32	Blu3beast	1889
33	AdmiralSmoke	1867
34	Badenbeele	1804
35	Steve897	1682
36	jnp_gaming	1572
37	Spenduh	1549
38	Akoot_	1532
39	MirielThePastor	1351
40	aymonkey	1344
41	Ezekson	1294
42	kekhon	1217
43	jcool7	1000
44	Isaac70096	960
45	KingFaenor	834
46	fw3xy74	808
47	Mahoose	786
48	fffMike	783
49	StinkyDiplomat	757
50	WET_WET_WET	727
51	Uzbeki_John	704
51	Jamstroxian	704
53	ayamefag	680
54	ImpavidArcher	636
54	Nicserso	636
56	Blackberry1310	635
57	Wooptey	598
58	Lez_	592
58	mobunni	592
60	Alteriity	586
61	M_Patata	580
61	MasterNueve	580
63	soundad	557
64	Rebytre	543
65	YungMaki	486
66	MissCeleste7	454
67	lcvezra	450
67	PortlyPete69	450
69	G1ldor	448
70	wTXop	419
71	LeonelSalamanca	415
72	ApophisNova	392
72	MyNamaSheff	392
74	Fuad_R	380
75	Tyrannosplart	377
76	GooseWithin	373
77	PigDab	367
78	El_Jalapeno	356
79	vandmanden	351
80	Skylord_Luke	336
81	_Boipl_	335
82	Segotep999	319
83	TheDankPlatypus	301
84	Arceus1975	295
85	Kowcio_	284
86	lordpipe	277
87	Hermanni__	270
88	xolstoi	269
89	I_Am_Mushkin	267
90	Euclidoris	258
90	Leeeegend	258
92	Barlycorn	256
93	_Mythic____	254
94	diggydog67	241
95	teslawolf38	239
95	Frozil20	239
97	Joestra	238
98	EveryonesUncle	237
99	IamCL4SSY	234
100	NameGenerat0r	220
101	EMC_	216
102	TheSecondLord	208
103	bigstankyy	205
104	ROY4LE	199
105	KarlKaek	197
105	Steelynan	197
107	500am	195
107	xzvu	195
109	dopplexd	192
109	mads388a	192
111	_Karmaa	188
112	Warlord324	178
113	Kakolbus	176
114	Xclax101	173
115	AltnumberF4	166
115	Powowowow	166
117	Eraxa	164
118	Nycteus_	160
119	Fullut	158
120	NomadicRobin_	155
120	luseis	155
122	_Virify_	149
123	Onennon	143
124	AlexxO_o	140
125	The_Cruncy	136
125	thgrocks	136
127	Merv__	135
127	Kyrum2169	135
129	SmashingPump	134
129	openatheclose	134
129	EtherealEspresso	134
