rank	username	minecraft:dropped/minecraft:mangrove_boat
1	pretty_pink_reno	15
2	Secret_Canary	8
3	CLG_Kata	3
4	Jimb0nat0r	2
5	ImpavidArcher	1
5	beeperbeeper5	1
5	SteveCraftBlocks	1
5	MrQuanQuan	1
5	Manaateee	1
5	majlin16	1
5	Kowcio_	1
