rank	username	minecraft:dropped/minecraft:cobblestone_stairs
1	Chickenchaser2	744
2	Racengan	442
3	thewindmillman	330
4	EMC_	317
5	fffMike	285
6	jacxhadow	257
7	Tobinator_007	256
7	ewsophie	256
7	JoCoLi	256
10	Toriankel	188
11	_Nuf	178
11	Druid95	178
13	cytotoxaint	177
14	lordpipe	162
15	Skylord_Luke	147
16	El_Jalapeno	142
17	Kowcio_	140
18	Slovitypagus	135
19	Spacewardharpy7	131
20	Slapface522	128
21	Soffbord	125
22	MuffinManzz	124
23	Killercatty78	121
23	Jonte0599	121
25	Burge_r	116
26	eitanzaki	114
26	wTXop	114
28	AdmiralSmoke	112
29	Decaying_Lotus	111
30	rarrq	107
30	__tomato	107
32	hm947	106
32	12Magner05	106
34	Cocoamallows	100
35	Blackberry1310	97
36	Mahoose	93
37	PhantomsGhost_	87
38	Merv__	86
39	Megarboh	83
40	Frozil20	81
41	SaucyDark	80
42	T045RTY	75
43	Tyrannosplart	74
44	Bumpy419	73
45	Di_infiri	70
45	MightyWertu	70
45	MovingFish7	70
45	Soplight	70
49	fluddd	68
49	EcksD	68
51	Uzbeki_John	67
51	TheShyPig	67
53	djancak	66
53	Wolverine4302	66
55	ProbsNotNova	65
56	diamondgolem35	64
56	Kakolbus	64
56	Orcus113	64
56	Winklepicker279	64
56	Juk3b0x	64
61	EveryonesUncle	62
62	TheSecondLord	60
63	beeperbeeper5	59
64	FennYuzuna	58
64	E775	58
64	Serval2000	58
67	burbankbuilder28	57
67	Nicserso	57
67	camando92	57
70	BlankityMcBlank	54
71	MattieHD	53
71	xxPipperDipperxx	53
73	MinuteMira	52
74	Badenbeele	51
74	I_Am_Mushkin	51
74	eviltunix	51
77	heysushii	50
78	Blaiku	49
79	ImNotYuqii	46
79	skrongus	46
81	catandmoose	44
82	lillips	43
83	lcvezra	42
84	CoffeeNoir	41
85	k_ce	40
85	kekhon	40
85	Katsuragi0243218	40
85	legoclone09	40
85	Weepingbiel	40
90	ThePoliteG	39
90	Xclax101	39
92	sigmabich	38
93	soundad	37
93	XeroByMyth	37
93	HellsSponge	37
96	Jimb0nat0r	36
97	mattybeewrapss	35
97	Rasmanden	35
99	H72l9w	33
99	emrekn	33
99	Blu3beast	33
102	avalan64	32
103	q_wq	31
103	jcool7	31
103	TheOuterCore	31
106	TerraVl	29
106	curterr	29
106	_Karmaa	29
106	Eraxa	29
106	Ezekson	29
111	YairZaki	28
112	joethahobo	27
113	Houstonion	26
113	Seindi	26
115	Ender_Souls	25
116	KiRemon77	24
116	lordsaladito	24
116	Jackattack53	24
116	Queen_Jalapeno	24
116	Typadopoulos	24
116	bruh072	24
122	Incinere	23
123	RobotMinion101	21
123	NoChumpChange	21
123	majlin16	21
126	Rebytre	20
126	the_russell1611	20
128	Dogcorn69420	19
129	ImpavidArcher	18
129	Andy__Dufresne	18
129	FreakGenius	18
129	TechnoNinja64	18
133	Guillemet	17
133	CTH_98	17
133	alderban107	17
136	Covalents	16
136	MinerDec	16
136	Kyrum2169	16
136	xzvu	16
140	500am	15
140	thescout7	15
140	Dan_Scha	15
140	Bloo2406	15
140	UCP_TheKingK	15
140	little_dUki	15
146	Kubelz	14
146	QuacksonThe3rd	14
148	Njensen7	13
149	ShedJr_	12
149	mwrty	12
149	noam464	12
149	Maenara	12
149	Skippeh	12
149	AltnumberF4	12
155	Natty	11
155	Malorn_Aetherius	11
155	The_Cruncy	11
155	Deguns123	11
159	SyntheticSurgeon	10
159	Tiberonus	10
159	SteveCraftBlocks	10
159	Smashic	10
159	excelsionprime	10
159	Hyp3rion_	10
159	Shiirazu	10
159	Groundler	10
159	Chayula	10
159	Legendosh	10
169	cletemo	9
