rank	username	minecraft:dropped/minecraft:cherry_fence
1	PazinGaming	18
2	Kowcio_	17
3	lordpipe	12
4	skitzxo	8
5	Archsam	5
5	Werbe	5
7	Lez_	4
8	StarCookiees_	3
9	Napoleonpancake	2
9	pretty_pink_reno	2
