rank	username	minecraft:dropped/minecraft:purpur_stairs
1	PigDab	123
2	lordpipe	116
3	Blu3beast	113
4	YungMaki	80
5	FreakGenius	79
5	Blaiku	79
7	eitanzaki	74
8	beeperbeeper5	62
9	yulgur1	49
10	Bandito_Roamer	36
11	masskedman	35
12	MightyWertu	33
13	Dogcorn69420	30
13	jnp_gaming	30
15	Di_infiri	27
16	6king6colt6	25
16	HellsSponge	25
18	Frozil20	24
18	Historical_Sand	24
18	xzvu	24
21	Hisiste	23
22	Awyrlas	22
23	ECstardust	19
23	gcaisawesome	19
23	Bumpy419	19
23	miramyu	19
23	Sral7	19
28	yheece	18
28	emreknugrlu	18
28	Kowcio_	18
28	MilleGrug	18
32	Maenara	17
33	Hyp3rion_	16
34	PhantomsGhost_	15
35	Lepthymo	13
35	500am	13
35	noam464	13
35	Winston_Ingram	13
35	Jimb0nat0r	13
40	Manaateee	12
41	Apollo_993	11
41	lorywithay	11
41	Covalents	11
41	Akoot_	11
41	annebolyn	11
46	Iagoku	10
46	DTwenty	10
48	EMC_	9
48	Ryan_GEMS	9
48	RebelAndroid	9
48	Onennon	9
48	EveryonesUncle	9
48	NameGenerat0r	9
48	striker90333	9
55	Houstonion	8
55	Fullut	8
55	MustaLoordi	8
55	vandmanden	8
59	IcyUzi	7
59	SellyZ	7
59	iSammael	7
59	Powowowow	7
63	oscminus	6
63	claivin	6
63	501g	6
66	TooManyDuck	5
66	Deodorante	5
66	EcksD	5
69	JohnnyFyes	4
69	TheSecondLord	4
69	Secret_Canary	4
69	thescout7	4
69	Inchef	4
69	surfinggiraffejp	4
69	thewindmillman	4
69	LilyNova	4
69	lizardfightclub	4
69	AspenLightVT	4
69	Xclax101	4
69	geekbird	4
81	T045RTY	3
81	Rich_Kat	3
81	mwrty	3
81	Jackattack53	3
81	Zythose	3
81	FishyBoy3811	3
81	audiocracked	3
81	TheImperial	3
81	LazySupport00	3
81	SkateboardR6	3
81	SvenskaHugo	3
81	CalebDHawk	3
81	laron58	3
81	MissCeleste7	3
81	UrbanPlanningEx	3
96	H0UNDFRMH3LL	2
96	bigstankyy	2
96	SaucyDark	2
96	Myszoaz	2
96	Blackberry1310	2
96	Comma__	2
96	jushykins	2
96	lorpus	2
96	Mewar	2
96	RIPB0ZO	2
96	eiC_	2
96	XboxPanda	2
96	Rumpletaezer	2
96	WET_WET_WET	2
96	Rasmanden	2
96	Tyrannosplart	2
96	fluddd	2
96	Razzgriz	2
96	Segotep999	2
96	Nicserso	2
116	teslawolf38	1
116	_Razaria	1
116	MoistMicrowave	1
116	Mahoose	1
116	Lez_	1
116	kekhon	1
116	Noah_Bez	1
116	Kakolbus	1
116	Marbz_	1
116	Donutt	1
116	MustardDrinker	1
116	RobotMinion101	1
116	AlexxO_o	1
116	ougstur	1
116	groofles	1
116	MrQuanQuan	1
116	TheSeismicDuck	1
116	Inbefour	1
116	1442	1
116	blackeemperor	1
116	Racengan	1
116	Pumpkin_P_Patch	1
116	Spenduh	1
116	_TCARREIRA_	1
116	obzii	1
116	Quotary	1
116	Enderxz3	1
116	2blox_	1
116	PlasticOtari	1
116	FishisTTV	1
