rank	username	minecraft:dropped/minecraft:music_disc_ward
1	HellsSponge	217
2	Blu3beast	111
3	_Bguette_	39
4	pintsizedrogue	8
5	surfinggiraffejp	7
5	sadvavilloso	7
7	PhantomsGhost_	6
7	ApophisNova	6
7	MyNamaSheff	6
10	Skylord_Luke	5
10	chipklip	5
12	eitanzaki	4
13	ProfessorBee	3
13	Jiminie	3
13	lordpipe	3
16	I_Am_Mushkin	2
16	kekhon	2
16	Fullut	2
16	yulgur1	2
16	DemTechAlpha	2
16	lcvezra	2
22	Merv__	1
22	ImpavidArcher	1
22	youhjjhhhjj	1
22	Mahoose	1
22	rarrq	1
22	LoboTheLobster	1
22	Scathra	1
22	r123moore	1
22	noam464	1
22	Di_infiri	1
22	_Boipl_	1
22	Oliver_Frost	1
22	RobotMinion101	1
22	Akoot_	1
22	Deodorante	1
22	Freak_Genius	1
22	Spacewardharpy7	1
22	YungMaki	1
22	stahouo	1
22	MilleGrug	1
22	Legendosh	1
22	jnp_gaming	1
22	TechnoNinja64	1
22	kinas45y5	1
