rank	username	minecraft:dropped/minecraft:music_disc_relic
1	Enderxz3	3
2	SteveCraftBlocks	2
2	bl1ss0	2
2	Kowcio_	2
5	k_ce	1
5	Mr_Byzantine	1
5	Lez_	1
5	beeperbeeper5	1
5	cuddlyMonster	1
