rank	username	minecraft:dropped/minecraft:pink_petals
1	Apollo_993	1699
2	HUNTERmaun	477
3	U_Mos_	325
4	TheWickedBird	191
5	Gus2005	81
6	lordpipe	71
7	Soplight	64
8	Nach0Bear	62
9	pintsizedrogue	57
10	Jackattack53	56
11	Kowcio_	50
12	Fullbit_	42
13	Alteriity	41
14	Reneedium	38
15	Hyp3rion_	35
16	k_ce	32
17	beeperbeeper5	23
18	ECstardust	22
19	EveryonesUncle	17
20	Sleepy_Evelyn	15
20	luseis	15
20	skitzxo	15
23	j5ylim	14
24	Lez_	8
25	Secret_Canary	7
25	11Brewer	7
27	Spenduh	6
28	Jekyll	4
28	Mr_Sun15	4
28	MAns_44	4
31	Merv__	3
31	QuiCreans	3
31	Tersea_	3
31	pretty_pink_reno	3
31	Steelynan	3
36	royal_2	1
36	TheSecondLord	1
36	corvidpartyfor6	1
36	CosmicStardustt	1
36	RebytreGT	1
