rank	username	minecraft:dropped/minecraft:dark_oak_trapdoor
1	Spacewardharpy7	3650
2	hollowww	660
3	thewindmillman	653
4	livingdaydreams	423
5	Zythose	342
6	Racengan	209
7	Kyrum2169	207
8	XboxPanda	205
9	Manaateee	154
10	Werbe	95
11	TheSecondLord	82
12	Hyp3rion_	79
13	Mahoose	75
14	Mattesco	71
15	HellsSponge	69
16	kekhon	66
16	jcool7	66
18	noam464	65
19	eitanzaki	60
20	emrekn	59
21	xzvu	56
22	Inbefour	48
23	groofles	42
23	EcksD	42
25	Archsam	39
25	AdmiralSmoke	39
27	Mr_Byzantine	37
28	Tyrannosplart	34
29	Lez_	32
30	k_ce	31
31	Elastiq	28
32	IamCL4SSY	27
33	beeperbeeper5	26
33	benediktine1	26
35	NomadicRobin_	22
36	Ssor69	21
37	Fullut	20
38	Bumpy419	19
38	Skylord_Luke	19
38	EveryonesUncle	19
38	Nicserso	19
42	JETrotter	18
43	Ezekson	17
43	ConnorDanky_	17
45	NameGenerat0r	16
46	_Razaria	13
46	burbankbuilder28	13
48	Alteriity	12
48	rarrq	12
48	Uzbeki_John	12
51	SaucyDark	11
51	Onennon	11
51	luseis	11
54	joethahobo	10
54	MattieHD	10
54	CollinMH06	10
54	legal_tax_evader	10
54	Kowcio_	10
59	Groovy_MoonBird	9
59	dartwaffle	9
59	lillips	9
59	FreakGenius	9
59	CalebDHawk	9
64	Merv__	8
64	thescout7	8
64	lorpus	8
64	Warlord324	8
64	jnp_gaming	8
64	PlasticOtari	8
70	xxPipperDipperxx	7
70	Xclax101	7
70	pixelviolin	7
70	Hermanni__	7
70	xolstoi	7
75	BlancoFlaco	6
75	Blackberry1310	6
75	M_Patata	6
75	Rebytre	6
75	fluddd	6
75	Ze_BaronKrigler	6
81	ImpavidArcher	5
81	Rox_The_Box	5
81	Smashic	5
81	PigDab	5
81	Eraxa	5
81	PortlyPete69	5
87	Ryker	4
87	r123moore	4
87	Kakolbus	4
87	Hiryu27	4
87	weabis	4
87	Kura2218	4
87	Soplight	4
87	Zoeyfortnite	4
95	_Huge_Male_	3
95	TildaAndrea	3
95	EMC_	3
95	Nach0Bear	3
95	LeonelSalamanca	3
95	DTwenty	3
95	Dakar_	3
95	ayamefag	3
95	SvenskaHugo	3
95	SammiWolfGirl	3
95	calamariclam_I	3
106	6king6colt6	2
106	I_Am_Mushkin	2
106	SyntheticSurgeon	2
106	Prismyst	2
106	ShedJr_	2
106	set67	2
106	ROY4LE	2
106	__TheNorseMan__	2
106	fr_ser	2
106	Akoot_	2
106	_Karmaa	2
106	Blu3beast	2
106	GravitySaint	2
106	EtherealEspresso	2
120	pintsizedrogue	1
120	abramgray	1
120	AshleeCW	1
120	Frozil20	1
120	KarlKaek	1
120	RatatJuice	1
120	Hpdinosaur	1
120	Incinere	1
120	Myszoaz	1
120	heckface	1
120	Ozixar	1
120	NieToksikpl	1
120	Saucepeh	1
120	Notta	1
120	Cryptacity	1
120	ThePoliteG	1
120	SteveCraftBlocks	1
120	gcaisawesome	1
120	Paintz	1
120	ImDisconnected_	1
120	yheece	1
120	Di_infiri	1
120	Jackattack53	1
120	Chromary	1
120	Reneedium	1
120	TheShyPig	1
120	FishyBoy3811	1
120	Y_A_N_N_I	1
120	Leyna3	1
120	yulgur1	1
120	Russiancat1	1
120	fkGrim	1
120	Deathkob	1
120	DemTechAlpha	1
120	Quaintster	1
120	MAns_44	1
120	censorsheep	1
120	Blaiku	1
120	LazySupport00	1
120	SkateboardR6	1
120	MovingFish7	1
120	YungMaki	1
120	CACTUSLAD	1
120	__tomato	1
120	_i_ERROR_i_	1
120	Skippeh	1
120	cichy096	1
120	FishisTTV	1
