rank	username	minecraft:dropped/minecraft:leather_horse_armor
1	beeperbeeper5	21
2	ConnorDanky_	15
3	geekbird	13
4	Werbe	10
5	EcksD	8
6	RebelAndroid	7
6	excelsionprime	7
6	pixelviolin	7
9	KingMatthew506	6
10	cutelilreno	5
11	thewindmillman	4
11	Luminad3	4
13	Apollo_993	2
13	Bad_At_Names_Guy	2
13	lotarp	2
13	Lez_	2
13	noam464	2
13	WhosJPG	2
13	emreknugrlu	2
13	Kowcio_	2
21	ImpavidArcher	1
21	T045RTY	1
21	Mahoose	1
21	Dakar_	1
21	Soplight	1
21	robonya_	1
21	Ezekson	1
21	00000000-0000-0000-0009-01fe065167f0	1
