rank	username	minecraft:dropped/minecraft:grindstone
1	AdmiralSmoke	154
2	NomadicRobin_	128
3	Manaateee	45
4	thewindmillman	21
5	Groovy_MoonBird	12
6	_Virify_	11
6	Spacewardharpy7	11
8	noam464	10
9	Jackattack53	9
10	Mahoose	5
11	SmashingPump	4
11	eitanzaki	4
11	pappaberg	4
11	Rebytre	4
15	_Huge_Male_	3
15	noodlepack	3
15	shadowthemonkey	3
15	Hyp3rion_	3
15	HellsSponge	3
15	Groundler	3
15	Eczbek	3
22	TildaAndrea	2
22	Euclidoris	2
22	Blackberry1310	2
22	12Magner05	2
22	ItsMrRamen	2
22	Mattesco	2
22	PigDab	2
22	IamCL4SSY	2
22	wezzzi	2
22	FreakGenius	2
22	Blu3beast	2
22	ayamefag	2
22	Soplight	2
22	TechnoNinja64	2
36	pintsizedrogue	1
36	AuroraValkyrie	1
36	EMC_	1
36	ShedJr_	1
36	uhm__okay	1
36	rarrq	1
36	ProfessorBee	1
36	Austine6698	1
36	Smashic	1
36	lorpus	1
36	XboxPanda	1
36	GreedyFern8581	1
36	Werbe	1
36	fxiryglitch	1
36	CarryLine	1
36	Tyrannosplart	1
36	SwooshBoi	1
36	fluddd	1
36	Racengan	1
36	pixelviolin	1
36	Kowcio_	1
36	starbits140	1
36	xzvu	1
36	jcool7	1
36	Steelynan	1
36	Nicserso	1
36	imaginek1d	1
36	vandmanden	1
36	PlasticOtari	1
36	WYFYoyo	1
