rank	username	minecraft:dropped/minecraft:stripped_crimson_stem
1	RealGroot	64
2	lorpus	48
3	Eraxa	14
4	Blackberry1310	6
4	Blaiku	6
6	lordpipe	5
6	Steelynan	5
8	joethahobo	2
9	Cowison	1
9	Lez_	1
9	beeperbeeper5	1
9	Crowman1	1
9	r123moore	1
9	Akoot_	1
9	Dusk_95	1
9	KingMatthew506	1
