rank	username	minecraft:dropped/minecraft:charcoal
1	Hyp3rion_	179868
2	Jackattack53	24784
3	EcksD	24728
4	noam464	13059
5	_Mythic____	7178
6	thewindmillman	783
7	eitanzaki	363
8	k_ce	171
9	groofles	128
10	SkateboardR6	100
11	BPTY4618	81
12	beeperbeeper5	72
13	MineMaster0012	67
14	Teebone15	65
15	thebaddruid	62
16	H0UNDFRMH3LL	52
16	ItsMrRamen	52
18	EveryonesUncle	40
19	fkGrim	29
20	Heisenbberrg	24
21	Vizzoid	19
21	fffMike	19
23	Lez_	18
24	_Dean_123	16
24	lordpipe	16
24	xzvu	16
27	crying_wolf_13	14
27	HellsSponge	14
29	lcvezra	13
30	NieToksikpl	12
30	Kakolbus	12
30	legal_tax_evader	12
30	Racengan	12
30	brofrickcheaters	12
30	AdmiralSmoke	12
36	Di_infiri	10
36	_Cloverbelle_	10
36	Akoot_	10
36	jcool7	10
40	hm947	8
40	Comma__	8
40	HyperCave	8
43	Bandito_Roamer	7
43	Krowuss	7
43	Shiirazu	7
43	brycepants	7
43	Optiprimus	7
48	CLG_Kata	6
48	Frozil20	6
48	Pineapplesugr	6
48	Kokeech	6
48	luseis	6
48	E775	6
48	djancak	6
48	cichy096	6
56	El_Jalapeno	5
57	Wooptey	4
57	CoffeeNoir	4
57	Presisor	4
57	dawerty	4
57	kekhon	4
57	_Nuf	4
57	ROY4LE	4
57	BlueZabu	4
57	yheece	4
57	420BreadLizard	4
57	_Bguette_	4
57	Manaateee	4
57	Dakar_	4
57	marumochis	4
57	__tomato	4
57	MNMann44	4
57	_KuruKuru	4
57	Nicserso	4
57	JasmineGK	4
57	Enderxz3	4
77	_Huge_Male_	3
77	Iagoku	3
77	Fullut	3
77	PeteO1995	3
77	Skylord_Luke	3
77	SvenskaHugo	3
77	PortlyPete69	3
84	_Virify_	2
84	PhantomsGhost_	2
84	jspwn	2
84	ECstardust	2
84	6king6colt6	2
84	diamondgolem35	2
84	Ryan_GEMS	2
84	TooManyDuck	2
84	Hpdinosaur	2
84	Incinere	2
84	joethahobo	2
84	Blackberry1310	2
84	Cryptacity	2
84	bloodbiter	2
84	12Magner05	2
84	SteveCraftBlocks	2
84	500am	2
84	AngalexikCZ	2
84	Kubelz	2
84	burbankbuilder28	2
84	_Boipl_	2
84	Kouridragon	2
84	TheShyPig	2
84	Drewen24	2
84	lizardfightclub	2
84	Rasmanden	2
84	IamCL4SSY	2
84	privatemeekly	2
84	avalan64	2
84	DarkS0L	2
84	handsome_strong	2
84	Fuad_R	2
84	NameGenerat0r	2
84	Universz	2
84	Groundler	2
84	Spacewardharpy7	2
84	MovingFish7	2
84	IAmTheWalrus910	2
84	CheifJumbo	2
84	Ze_BaronKrigler	2
84	Majonezzon	2
84	Kowcio_	2
84	EtherealEspresso	2
84	HAruSAme14	2
84	Njensen7	2
84	Vellu21	2
84	FelixPSY375	2
84	MandenR1	2
84	WYFYoyo	2
84	00000000-0000-0000-0009-01ff0c3e5e4f	2
134	weezygator	1
134	JustMaleen	1
134	dabloons	1
134	KarlKaek	1
134	DinoDoctor_	1
134	livingdaydreams	1
134	T045RTY	1
134	Alteriity	1
134	Natty	1
134	Arteriana	1
134	rarrq	1
134	dopplexd	1
134	Malorn_Aetherius	1
134	mwrty	1
134	Covalents	1
134	imcombxt	1
134	jedi_george	1
134	Rumpletaezer	1
134	AlexxO_o	1
134	YahooScreen9000	1
134	Quincannon	1
134	Avocadogerms	1
134	Blu3beast	1
134	Blaiku	1
134	monky_irl	1
