rank	username	minecraft:dropped/minecraft:nautilus_shell
1	thewindmillman	3250
2	Hyp3rion_	1652
3	Racengan	492
4	Jackattack53	213
5	kekhon	208
6	Alteriity	186
7	Chromary	161
8	Kyrum2169	74
9	Fullut	59
10	WyngGoy	57
11	Akoot_	55
12	LordSpeed37	42
13	ConnorDanky_	37
14	doublemaki	36
15	cuddlyMonster	32
15	Skippeh	32
17	k1ngGilgamesh	31
18	__tomato	27
19	33sudo	26
20	wezzzi	24
21	shadowthemonkey	22
22	MyNameIsJobo	21
23	noam464	19
23	HellsSponge	19
23	Blu3beast	19
26	Ezekson	18
27	Blaiku	16
27	CalebDHawk	16
29	Kkanot	15
30	Segotep999	14
30	PlasticOtari	14
30	Yamdalorian	14
33	Mahoose	13
33	MovingFish7	13
35	Hpdinosaur	12
35	Mewar	12
37	eitanzaki	11
37	rarrq	11
37	Warlord324	11
40	k_ce	10
40	mwrty	10
40	_flud	10
43	ApophisNova	9
43	MyNamaSheff	9
45	MattieHD	8
45	SellyZ	8
45	xxPipperDipperxx	8
45	Krowuss	8
45	Onennon	8
45	MightyWertu	8
51	craaaash	7
51	luseis	7
53	masskedman	6
53	Tyrannosplart	6
53	ayamefag	6
53	Dogcorn69420	6
57	robonya_	5
58	abdomera	4
58	Zythose	4
58	Hiryu27	4
58	ooga47	4
58	Maenara	4
58	Buuck_	4
58	EcksD	4
58	Nicserso	4
66	pintsizedrogue	3
66	mymayowasgone	3
66	gren_ben	3
66	Blackberry1310	3
66	Xalithia	3
66	CollinMH06	3
66	stavgod	3
73	shineh10	2
73	Ryan_GEMS	2
73	beeperbeeper5	2
73	Comma__	2
73	catandmoose	2
73	oscminus	2
73	Mattesco	2
73	That_tech_head	2
73	Fuad_R	2
73	Soap_Bender	2
73	1442	2
73	claivin	2
73	Keeogwi	2
73	BlankityMcBlank	2
73	Soplight	2
73	miramyu	2
73	TechnoNinja64	2
90	Bandito_Roamer	1
90	Mr_Byzantine	1
90	CLG_Kata	1
90	zqw10k	1
90	PazinGaming	1
90	robertsnose	1
90	ECstardust	1
90	Niklas20114552	1
90	milkedit	1
90	Iagoku	1
90	Paleshield	1
90	Incinere	1
90	RebelAndroid	1
90	lorywithay	1
90	spaece	1
90	Lez_	1
90	Myszoaz	1
90	joethahobo	1
90	cyuar	1
90	QuiCreans	1
90	Vizzoid	1
90	Auseawesome	1
90	TheSecondLord	1
90	Nicky_H225	1
90	SteveCraftBlocks	1
90	Smashic	1
90	set67	1
90	Motsaro	1
90	Inchef	1
90	XboxPanda	1
90	SuperPooch06	1
90	hanaryheatwave	1
90	Arceus1975	1
90	Bumpy419	1
90	Felenov	1
90	Werbe	1
90	epiksk8erduck	1
90	fxiryglitch	1
90	HolyVenom	1
90	fw3xy	1
90	Wowful	1
90	Tiktola01	1
90	Manaateee	1
90	SwooshBoi	1
90	Spacewardharpy7	1
90	lordpipe	1
90	Eraxa	1
90	pixelviolin	1
90	Kowcio_	1
90	bloomkieren	1
90	SammiWolfGirl	1
90	_TCARREIRA_	1
90	_i_ERROR_i_	1
90	PlzNoBM	1
90	Steelynan	1
90	elliebelle107	1
90	Vellu21	1
90	laron58	1
90	TheOuterCore	1
90	RoboTramp7865	1
90	FelixPSY375	1
90	vandmanden	1
90	Jimb0nat0r	1
90	Sral7	1
90	es0th	1
90	LuvLuvLove	1
90	JayToe	1
90	WinterYoke	1
