rank	username	minecraft:dropped/minecraft:golden_sword
1	noam464	2757
2	Frozil20	1490
3	Blaiku	1063
4	eitanzaki	921
5	Spacewardharpy7	625
6	Hyp3rion_	527
7	Di_infiri	452
8	thewindmillman	430
9	Hisiste	342
10	PigDab	315
11	EcksD	307
12	HellsSponge	283
13	Marbz_	257
14	_Virify_	178
15	Groundler	166
16	thescout7	161
17	joethahobo	159
18	Jackattack53	141
19	PhantomsGhost_	97
20	Spenduh	90
21	gcaisawesome	77
22	Dogcorn69420	62
23	Werbe	60
24	Groovy_MoonBird	45
25	NomadicRobin_	36
26	M_Patata	35
26	Segotep999	35
28	DanTheBuilderino	31
28	MasterNueve	31
30	beeperbeeper5	29
31	Arceus1975	27
32	RebelAndroid	26
32	YungMaki	26
34	hm947	25
34	mwrty	25
34	TechnoNinja64	25
37	r123moore	24
37	Lord_Jord	24
39	Kakolbus	23
39	KG1999	23
41	Fullut	22
42	himak1	21
43	ImpavidArcher	20
43	TooManyDuck	20
45	Akoot_	19
46	Blackberry1310	18
47	lillips	17
48	TheSecondLord	16
48	MinttyFressh	16
50	MattieHD	15
50	Awyrlas	15
50	Nicserso	15
53	vandmanden	14
54	Rasmanden	13
54	yulgur1	13
54	Freak_Genius	13
54	wwwwinnebagoooo	13
54	33sudo	13
54	Eraxa	13
54	Legendosh	13
54	Zoeyfortnite	13
54	Smoke____	13
63	XboxPanda	12
63	wezzzi	12
65	kekhon	11
65	pixelviolin	11
65	Powowowow	11
68	Hiryu27	10
68	SpookyDraggin	10
68	MightyWertu	10
68	2blox	10
72	SaucyDark	9
72	T045RTY	9
72	Comma__	9
72	Snowflowe	9
72	mihimihimihi	9
72	BreadBacon	9
78	KomputerDude	8
78	rarrq	8
78	bloodbiter	8
78	Zythose	8
78	calamariclam_I	8
78	h2p_emrld	8
84	Bandito_Roamer	7
84	Mahoose	7
84	Onennon	7
84	_Bguette_	7
84	Blu3beast	7
84	AltnumberF4	7
84	Faart	7
91	Xalithia	6
91	Winklepicker279	6
91	audiocracked	6
91	Racengan	6
91	SkateboardR6	6
91	Cocoamallows	6
91	Soplight	6
91	jcool7	6
91	Ezekson	6
100	pintsizedrogue	5
100	EMC_	5
100	jimintyy	5
100	lotarp	5
100	mimbo1211	5
100	Zaridey	5
100	fr_ser	5
100	The11thDoctor	5
100	claivin	5
100	fffMike	5
100	diggydog67	5
111	Cowison	4
111	NinjaKnifeKill	4
111	Historical_Sand	4
111	GingerNeutron	4
111	Skylord_Luke	4
111	NameGenerat0r	4
111	Shogunite	4
111	Toriankel	4
111	Dusk_95	4
111	Steelynan	4
111	Physics_Breaker	4
111	Enderslayerxz3	4
123	I_Am_Mushkin	3
123	Dedalus36	3
123	Incinere	3
123	livingdaydreams	3
123	Lez_	3
123	ThePoliteG	3
123	500am	3
123	Kkanot	3
123	WET_WET_WET	3
123	RefluxRatio	3
123	ApophisNova	3
123	CruncyIsTaken	3
123	binman420	3
123	NoChumpChange	3
123	fkGrim	3
123	GoofyBread	3
123	WyngGoy	3
123	stavgod	3
123	SvenskaHugo	3
123	__tomato	3
123	Skippeh	3
123	TheOnlyRake	3
123	oxfordschool	3
123	MyNamaSheff	3
123	561cool	3
148	seanitoo	2
148	Drlzyy	2
148	Merv__	2
148	Zippyzam	2
148	Franco093	2
148	CoffeeNoir	2
148	Da_Boss_Rani	2
148	Guillemet	2
148	Lor1113	2
148	Smashic	2
148	UncreativeArtist	2
148	paranoid_plant	2
148	loveseeker	2
148	Chromary	2
148	pappaberg	2
148	Rebytre	2
148	fred870d	2
148	aa2x_	2
148	Jiminie	2
148	LexMakesHistory	2
148	chipklip	2
148	DarlaMeow	2
148	Fuad_R	2
148	fluddd	2
148	SingedBread	2
148	Aezekial	2
148	lordpipe	2
148	Kowcio_	2
148	Kyrum2169	2
148	SammiWolfGirl	2
148	HAruSAme14	2
148	MilleGrug	2
148	TheALV	2
148	alderban107	2
148	laron58	2
148	jnp_gaming	2
148	UrbanPlanner1978	2
148	Sral7	2
148	Jordan_R	2
148	Yahrto	2
148	trexgb	2
148	Freedrik	2
190	Menthas	1
190	Elprone266	1
190	MixerDixer	1
190	dudcreeper	1
190	RoskobiOne	1
190	AuroraValkyrie	1
190	teslawolf38	1
190	KingFaenor	1
190	Ilinca_Io	1
190	AshleeCW	1
190	numbra	1
190	bigstankyy	1
190	error10101	1
190	DinoDoctor_	1
190	Killercatty78	1
190	Hpdinosaur	1
190	Lilinaya17	1
190	_AceOfSpace_	1
190	Myszoaz	1
190	NieToksikpl	1
190	Frxnkz	1
190	jushykins	1
190	12Magner05	1
190	DarkDescent2392	1
190	Cortexia	1
190	TheThomas69	1
190	_Nuf	1
190	eclipseboi	1
190	_Dean_123	1
190	Kamflame10	1
190	set67	1
190	groggregg42	1
190	Flapjacker687	1
190	Scathra	1
190	egglapras	1
190	Motsaro	1
190	Mewar	1
190	Tjhodskins19	1
190	ROY4LE	1
190	NotKaden_	1
190	eiC_	1
190	Kubelz	1
190	gabriels543	1
190	jedi_george	1
190	SuperPooch06	1
190	burbankbuilder28	1
190	cwartzo	1
190	Bumpy419	1
190	ItsAki_	1
190	Afinnity	1
190	XeroByMyth	1
190	FishyBoy3811	1
190	ToastedGamingYT	1
190	lizardfightclub	1
190	KliBeast21	1
190	KnightmareD	1
190	_Crimson_Legate	1
190	gustarbite	1
190	Inbefour	1
190	EveryonesUncle	1
190	the_russell1611	1
190	KermitTheKripple	1
190	_Karmaa	1
190	CookTheChef3	1
190	ATurtle4936	1
190	SwooshBoi	1
190	censorsheep	1
190	Bloo2406	1
190	halfbakedlasagna	1
190	DeGodz4life	1
190	DarkLawD	1
190	LazySupport00	1
190	NotMeowMix	1
190	MovingFish7	1
190	SUN_DREAM	1
190	_Ruzeeq_	1
190	OG_Songsee	1
190	Sank34	1
190	07shiny	1
190	IdeallyGrey	1
190	LilcoinXX	1
190	AssFullaCum	1
190	brofrickcheaters	1
190	ediballbearings	1
190	lcvezra	1
190	Luigipunch989	1
190	Poppy235	1
190	APS_Dan	1
190	_Yonk_	1
190	GlitchyPlate810	1
190	BungalowBeet	1
190	UltraZombie	1
190	DennyKai	1
190	Nargotah	1
190	Njensen7	1
190	Eczbek	1
190	Hermanni__	1
190	Vellu21	1
190	Dr0xzy	1
190	TheOuterCore	1
190	RadarHz	1
190	PlasticOtari	1
190	JayToe	1
190	00000000-0000-0000-0009-01ff0c3e5e4f	1
