rank	username	minecraft:dropped/minecraft:dark_oak_door
1	joethahobo	43
2	Blackberry1310	21
3	miramyu	18
4	k_ce	17
5	MightyWertu	13
5	KingMatthew506	13
7	Groovy_MoonBird	12
8	Archsam	9
9	Lez_	8
9	burbankbuilder28	8
9	Bumpy419	8
9	EveryonesUncle	8
9	FreakGenius	8
9	GeromeMerris	8
15	PortlyPete69	7
15	Ezekson	7
17	rarrq	6
17	Hydro___________	6
17	Ze_BaronKrigler	6
20	MuffinManzz	5
20	beeperbeeper5	5
20	Ssor69	5
20	benediktine1	5
20	thewindmillman	5
20	Blu3beast	5
20	the__Reaper4999	5
20	_i_ERROR_i_	5
28	GingerNeutron	4
28	emreknugrlu	4
28	Eraxa	4
28	xzvu	4
28	obzii	4
28	ConnorDanky_	4
28	Enderxz3	4
35	Jovaphobic	3
35	Lotheburgh	3
35	Frozil20	3
35	6king6colt6	3
35	I_Am_Mushkin	3
35	SyntheticSurgeon	3
35	lorywithay	3
35	Huwulling	3
35	gabukun_	3
35	CliffEmAll	3
35	kekhon	3
35	Touched_Bread	3
35	Mattesco	3
35	yulgur1	3
35	Dakar_	3
35	Quaintster	3
35	Xclax101	3
35	Matorz	3
35	lordpipe	3
35	Kowcio_	3
35	starbits140	3
35	SSytex_X	3
35	CalebDHawk	3
35	Njensen7	3
35	EcksD	3
35	2blox_	3
61	RosaDoesMC	2
61	PazinGaming	2
61	SaucyDark	2
61	Incinere	2
61	Natty	2
61	Prismyst	2
61	TheSecondLord	2
61	SteveCraftBlocks	2
61	Nach0Bear	2
61	ketaminmann	2
61	Uzbeki_John	2
61	olliebollie48	2
61	Norrhede	2
61	Hyp3rion_	2
61	CranialBlowout	2
61	Skylord_Luke	2
61	ScootOfBoot	2
61	groofles	2
61	EdGalbraith	2
61	NomadicRobin_	2
61	Russiancat1	2
61	Tyrannosplart	2
61	_Karmaa	2
61	Shogunite	2
61	Airem_Core	2
61	bndo	2
61	Zetsey	2
61	TheKingK_	2
61	djancak	2
61	cichy096	2
61	jnp_gaming	2
92	H0UNDFRMH3LL	1
92	pintsizedrogue	1
92	shineh10	1
92	Sleek_Storm_721	1
92	ImpavidArcher	1
92	tuckerdoodle	1
92	T045RTY	1
92	Euclidoris	1
92	NieToksikpl	1
92	Auseawesome	1
92	m_be9	1
92	Fullut	1
92	Smashic	1
92	thescout7	1
92	Inchef	1
92	ROY4LE	1
92	Boogaloo242	1
92	noam464	1
92	Winklepicker279	1
92	Chromary	1
92	StormPool	1
92	Jimi7hits	1
92	Akoot_	1
92	Inbefour	1
92	Lord_Zacler	1
92	Karbl	1
92	StinkyDiplomat	1
92	fluddd	1
92	ItsDeltaMC	1
92	Optiprimus	1
92	YungMaki	1
92	EtherealEspresso	1
92	Soplight	1
92	snizv1	1
92	VentiHilton	1
92	JasmineGK	1
92	annebolyn	1
92	skitzxo	1
92	Jordan_R	1
92	Tristankill	1
