rank	username	minecraft:dropped/minecraft:dandelion
1	thewindmillman	161138
2	noam464	35540
3	lillips	783
4	lordpipe	411
5	beeperbeeper5	395
6	Groundler	360
7	TechnoNinja64	242
8	eitanzaki	223
9	Freak_Genius	173
10	kekhon	162
11	Skylord_Luke	154
12	Wolverine4302	150
13	Di_infiri	143
14	oxfordschool	135
15	EveryonesUncle	133
15	Blaiku	133
17	Inbefour	132
18	NomadicRobin_	114
19	Quotary	100
20	YungMaki	99
21	burbankbuilder28	87
22	Smoke____	86
23	SteveCraftBlocks	79
23	Nicserso	79
25	Zythose	74
26	m_be9	73
27	joethahobo	72
28	awesomeoneme	68
29	Kakolbus	67
30	Mahoose	64
31	Arceus1975	62
32	Blackberry1310	61
32	Kowcio_	61
34	HellsSponge	60
35	Ezekson	57
36	Sral7	56
37	Frozil12	54
38	El_Jalapeno	51
38	SSytex_X	51
40	Werbe	50
40	AssEatrAndLicker	50
42	500am	48
43	Winklepicker279	44
44	Onennon	43
45	wilgot_	42
45	PigDab	42
45	Spacewardharpy7	42
45	djancak	42
49	_Dean_123	40
50	EMC_	38
50	NotMeanttoChange	38
52	XboxPanda	37
53	BlancoFlaco	36
53	seramalen	36
55	PeteO1995	35
56	Ssor69	34
56	himak1	34
56	Racengan	34
59	LordSpeed37	33
60	Blu3beast	32
60	stahouo	32
62	seanitoo	28
62	TheSecondLord	28
62	Warlord324	28
62	lcvezra	28
62	jnp_gaming	28
62	EcksDofficial	28
68	SaucyDark	27
69	Natofthese	26
69	Lord_Jord	26
71	Corbsman	25
71	Zielo2017PL	25
71	masskedman	25
74	Akoot_	24
75	set67	23
75	wTXop	23
75	FishyBoy3811	23
75	Sky_light_KING	23
75	sebastiensaborio	23
80	Cowison	22
80	diamondgolem35	22
80	T045RTY	22
80	jewbacaman	22
84	pintsizedrogue	21
84	rarrq	21
84	Cattoh	21
84	MightyWertu	21
84	SammiWolfGirl	21
84	CalebDHawk	21
90	fluddd	20
91	Hisiste	19
92	1442	18
92	_Karmaa	18
92	PortlyPete69	18
95	CoffeeNoir	17
95	Historical_Sand	17
95	epiksk8erduck	17
95	Lord_Zacler	17
95	WyngGoy	17
100	q_wq	16
100	Soap_Bender	16
102	Uzbeki_John	15
102	Jackattack53	15
102	PlasticOtari	15
105	_NieToksikpl_	14
105	leaf26	14
105	redikul	14
105	emrekn	14
105	AlphaWolfPlaysMC	14
110	Guillemet	13
110	audiocracked	13
110	cog	13
110	Luigipunch989	13
114	Groovy_MoonBird	12
114	Mowelan	12
114	CompAir	12
114	ShedJr_	12
114	Malorn_Aetherius	12
114	Comma__	12
114	Rumpletaezer	12
114	chipklip	12
114	Xclax101	12
123	TooManyDuck	11
123	ApophisNova	11
123	RodSerlingCringe	11
123	TheSeismicDuck	11
123	fkGrim	11
123	Shogunite	11
123	The_Skramz	11
123	SkateboardR6	11
123	MyNamaSheff	11
123	RoboTramp7865	11
133	ImpavidArcher	10
133	Wooptey	10
133	thescout7	10
133	SuperPooch06	10
133	Bumpy419	10
133	cedric72	10
133	TheShyPig	10
133	Vellebelle2	10
133	Wowful	10
133	DanTheBuilderino	10
133	DeGodz4life	10
133	MovingFish7	10
133	2blox	10
133	Calbo_	10
147	PhantomsGhost_	9
147	Kkanot	9
147	UncreativeArtist	9
147	mwrty	9
147	Inchef	9
147	hcb238	9
147	thgrocks	9
147	_Bguette_	9
147	ebanana	9
147	monky_irl	9
147	__tomato	9
147	jcool7	9
147	KingMatthew506	9
147	cichy096	9
161	Natty	8
161	TheFlfthHorseman	8
161	Notta	8
161	shyshyannne	8
161	Toriankel	8
161	Soplight	8
167	jimintyy	7
167	Seyaboy	7
167	titanlax	7
167	12Magner05	7
167	Fullut	7
167	gcaisawesome	7
167	MyNameIsJobo	7
167	lizardfightclub	7
167	claivin	7
167	Nycteus_	7
167	VilsSwag	7
167	Dusk_95	7
167	_Ruzeeq_	7
167	TheEnderman548	7
167	IdeallyGrey	7
167	PncakeUniverse	7
167	Kubeusz2010	7
184	eviltunix	6
184	BlueZabu	6
184	0nly_sn1per	6
184	Chromary	6
184	Shiirazuku	6
184	wezzzi	6
184	Gryglu583	6
184	radioactv_jelly	6
184	pixelviolin	6
184	Kyrum2169	6
184	Kamiento	6
184	K_a__a_n	6
184	Hermanni__	6
184	anbbang	6
184	CrazyPotater	6
199	Drlzyy	5
199	Merv__	5
199	bigstankyy	5
199	Hyugo	5
199	dragonsleger	5
199	hm947	5
199	ProfessorBee	5
199	TheDiamondCG	5
199	surfinggiraffejp	5
199	SellyZ	5
199	r123moore	5
199	brrh	5
199	mimbo1211	5
199	TableTim	5
199	AlexStrange	5
199	Rasmanden	5
199	magmaniacmc	5
199	ogoa	5
199	Sheldor097	5
199	Skippeh	5
199	EcksD	5
199	FelixPSY375	5
221	SugarMyNuggets	4
221	Jovaphobic	4
221	I_Am_Mushkin	4
221	KarlKaek	4
221	Batman922	4
221	ivorico	4
221	H72l9w	4
221	oreee	4
221	Dragonfest	4
221	Scathra	4
221	marul1002	4
221	egglapras	4
221	2Stout	4
221	Ecplosive	4
221	Norrhede	4
221	Hyp3rion_	4
221	DaviusMaximoose	4
221	Katsuragi0243218	4
221	Alendral	4
221	IAmTheWalrus910	4
221	Eraxa	4
221	sadvavilloso	4
221	07shiny	4
221	CoryJJ	4
221	Nargotah	4
221	mawileite	4
221	AltnumberF4	4
221	FishisTTV	4
221	h2p_emrld	4
250	_Virify_	3
250	elicobnoah	3
250	The_Great_Jake	3
250	teslawolf38	3
250	Incinere	3
250	livingdaydreams	3
250	BoraMC	3
250	301851	3
250	moertymoertan	3
250	bloodbiter	3
250	noodlepack	3
250	Mewar	3
250	Tjhodskins19	3
250	Bolete	3
250	TheDankPlatypus	3
250	fallingemma	3
250	ImDisconnected_	3
250	Doom_melon	3
250	WET_WET_WET	3
250	SokaOtaku	3
250	Donutt	3
250	BronkerBrum	3
250	Hiryu27	3
250	Kouridragon	3
250	Truckoss	3
250	fred870d	3
250	_naturell	3
250	HolyVenom	3
250	Hail_the_wombat	3
250	kiluaemc	3
250	KermitTheKripple	3
250	Beagle_Boy_Bop	3
250	sp00ky_ghost977	3
250	NebulousBadger	3
250	Spenduh	3
250	snizv1	3
250	_TCARREIRA_	3
250	a_smol_bean	3
250	PlzNoBM	3
250	ProbsNotNova	3
250	Winston_Ingram	3
250	Njensen7	3
250	VentiHilton	3
250	Miko_Fullbuster	3
250	QueenOfDirt	3
250	HesDemonPants	3
250	vandmanden	3
250	Faart	3
298	Bandito_Roamer	2
298	Mr_Byzantine	2
298	Crowvens	2
