rank	username	minecraft:dropped/minecraft:dead_horn_coral_fan
1	HellsSponge	7
2	Spacewardharpy7	6
3	eitanzaki	3
3	noam464	3
5	pintsizedrogue	1
5	lillips	1
5	NameGenerat0r	1
