rank	username	minecraft:dropped/minecraft:deepslate_lapis_ore
1	Smashic	115
2	Segotep999	46
3	thewindmillman	45
3	YungMaki	45
5	Mattesco	36
6	noam464	34
7	truonggojo777	22
8	SyntheticSurgeon	16
8	Lez_	16
10	hanaryheatwave	15
11	Jackattack53	12
11	MilleGrug	12
13	_Mythic____	11
14	RebytreGT	9
14	EdGalbraith	9
16	ECstardust	7
16	mihimihimihi	7
18	BPTY4618	6
18	skroobiez	6
18	beeperbeeper5	6
18	catandmoose	6
18	Hyp3rion_	6
18	lordpipe	6
18	SvenskaHugo	6
18	hermmm_	6
26	CLG_Kata	5
27	Da_Boss_Rani	4
27	fw3xy74	4
27	Gus2005	4
27	Kowcio_	4
31	Iamthejo	3
31	Enderxz3	3
31	2blox_	3
34	500am	2
34	Skylord_Luke	2
34	_i_ERROR_i_	2
34	Skippeh	2
34	Yamdalorian	2
39	RoskobiOne	1
39	myaccountwasgone	1
39	StarCookiees_	1
39	Legendosh	1
39	skitzxo	1
