rank	username	minecraft:dropped/minecraft:nether_wart_block
1	noam464	18512
2	thewindmillman	5187
3	pixelviolin	4246
4	_Mythic____	2221
5	Enderxz3	1915
6	beeperbeeper5	1801
7	Blackberry1310	1477
8	Jackattack53	1280
9	emreknugrlu	1037
10	k_ce	1000
11	shadowthemonkey	940
12	Blaiku	885
13	Yamdalorian	873
14	ConnorDanky_	741
15	Winklepicker279	717
16	Hyp3rion_	646
17	gcaisawesome	590
18	FreakGenius	574
19	Crowman1	361
20	Jimb0nat0r	346
21	Kowcio_	285
22	Eraxa	260
23	_Huge_Male_	194
24	trexgb	172
25	YungMaki	166
26	Luigipunch989	160
27	jnp_gaming	145
28	Mahoose	129
29	EfficientC52	120
30	Karbl	119
31	TechnoNinja64	110
32	blackeemperor	93
33	kekhon	90
34	MSK__	85
35	AstreaTSS	79
36	joethahobo	77
37	Frozil20	66
38	Akoot_	64
38	NomadicRobin_	64
40	EMC_	61
41	eitanzaki	56
42	PlasticOtari	54
43	MilleGrug	51
44	Segotep999	46
45	TheSecondLord	45
46	Billious	43
47	Lez_	41
48	HellsSponge	40
49	12Magner05	39
49	EcksD	39
51	pretty_pink_reno	38
52	athereall	36
53	pintsizedrogue	35
53	Fullut	35
55	AlexxO_o	34
56	RebytreGT	31
56	SpacesickPrism	31
58	500am	30
59	Jekyll	29
60	SvenskaHugo	24
60	Drawgirl	24
62	PazinGaming	23
62	MrShojo	23
64	gamerlord1324	19
65	RebelAndroid	18
65	LexMakesHistory	18
67	shineh10	17
67	Zythose	17
67	Blasterboy54	17
70	zToasty69z	16
70	gustarlep	16
70	SammiWolfGirl	16
73	livingdaydreams	15
73	djancak	15
73	Nicserso	15
76	Jovaphobic	13
76	lordpipe	13
76	TheWickedBird	13
79	PigDab	12
79	Legendosh	12
81	Killercatty78	11
82	Saucepeh	10
82	EveryonesUncle	10
82	Kubeusz2010	10
85	crying_wolf_13	9
85	LugusMcGrugus	9
85	Spacewardharpy7	9
88	hm947	8
88	Eczbox	8
88	Eczbek	8
91	Juansinmiedo18	7
91	Krowuss	7
91	Mattesco	7
94	FishyBoy3811	6
94	Lord_Jord	6
94	NumbaOneMunch	6
94	Dakar_	6
94	mihimihimihi	6
99	NatalieTW	5
99	Ev0luti0nz	5
99	AshleeCW	5
99	Kubelz	5
99	Pumpkin_P_Patch	5
99	diggydog67	5
105	q_wq	4
105	_Razaria	4
105	Mr_Froxy	4
105	Gryglu583	4
105	Blu3beast	4
105	lunkuku	4
105	RadarHz	4
105	2blox_	4
105	00000000-0000-0000-0009-01ff0c3e5e4f	4
114	MuffinManzz	3
114	Lorcout	3
114	CoffeeNoir	3
114	ShedJr_	3
114	bloodbiter	3
114	Soplight	3
120	6king6colt6	2
120	Sleepy_Time_	2
120	Secret_Canary	2
120	trixterrx	2
120	Chromary	2
120	hanaryheatwave	2
120	Arceus1975	2
120	Werbe	2
120	EdGalbraith	2
120	shrimp_flips	2
120	StinkyDiplomat	2
120	SkateboardR6	2
120	ItsDeltaMC	2
120	Spenduh	2
120	_i_ERROR_i_	2
120	hermmm_	2
136	_Virify_	1
136	Mr_Byzantine	1
136	_stets	1
136	soundad	1
136	I_Am_Mushkin	1
136	diamondgolem35	1
136	Ryan_GEMS	1
136	BlancoFlaco	1
136	Historical_Sand	1
136	QuiCreans	1
136	NieToksikpl	1
136	_Dean_123	1
136	paranoid_plant	1
136	Inchef	1
136	Xalithia	1
136	r123moore	1
136	Kakolbus	1
136	crashomon	1
136	JitteryJared2	1
136	Skylord_Luke	1
136	F_Uhre	1
136	Mr_Sun15	1
136	HolyVenom	1
136	Elastiq	1
136	The_slideV3	1
136	NameGenerat0r	1
136	DanTheBuilderino	1
136	501g	1
136	Xclax101	1
136	wwwwinnebagoooo	1
136	jewishnoselong	1
136	TheEnderMan548	1
136	PortlyPete69	1
136	CalebDHawk	1
136	Sheldor097	1
136	tartanboy	1
136	HesDemonPants	1
