rank	username	minecraft:dropped/minecraft:acacia_sapling
1	Hyp3rion_	1089
2	eitanzaki	452
3	beeperbeeper5	332
4	FreakGenius	330
5	Yamdalorian	251
6	eiC_	213
7	Spacewardharpy7	184
8	Blackberry1310	133
9	KingMatthew506	129
10	noam464	123
11	Bandito_Roamer	111
12	Steelynan	109
13	kalzor	107
14	skitzxo	91
15	Jackattack53	84
15	hanaryheatwave	84
17	thewindmillman	77
18	TheWickedBird	72
19	_Mythic____	63
20	xzvu	42
21	k_ce	39
22	ProfessorBee	32
23	ConnorDanky_	31
23	Nicserso	31
25	Jonafrog99	30
25	imaginek1d	30
27	ZaneABrain	27
27	Enderxz3	27
29	Lez_	25
30	fluddd	24
30	laron58	24
32	fw3xy74	20
33	Swexti	18
34	Blaiku	17
34	YungMaki	17
36	MoistMicrowave	16
36	ThePoliteG	16
36	Di_infiri	16
39	chlorinex	15
39	2Stout	15
39	Ecplosive	15
39	pretty_pink_reno	15
43	Apollo_993	14
43	tartanboy	14
45	Zxhir	13
45	Skylord_Luke	13
45	TechnoNinja64	13
48	SteveCraftBlocks	12
48	Tobias0113	12
50	Secret_Canary	11
50	mariominejedi	11
50	pixelviolin	11
53	pintsizedrogue	10
53	Mr_Byzantine	10
53	DiscardedCE	10
53	Frozil20	10
53	EcksD	10
58	ImpavidArcher	9
58	Alteriity	9
58	joethahobo	9
58	MyNameIsJobo	9
58	Meatlaugh	9
58	MS_Pryxx	9
58	_Ruzeeq_	9
58	Vellu21	9
66	RebelAndroid	8
66	ooga47	8
68	abramgray	7
68	abdomera	7
68	MattieHD	7
68	Avocadogerms	7
68	FelixPSY375	7
73	dopplexd	6
73	TheSecondLord	6
73	whoaluv	6
73	GooseWithin	6
73	TheSeismicDuck	6
73	Groundler	6
73	Goat_Man512	6
80	Mahoose	5
80	Kakolbus	5
80	Krowuss	5
80	jewbacaman	5
80	audiocracked	5
80	JureJurko	5
80	stellarjay	5
87	LeberkasWeckerl	4
87	ZigzagLily43042	4
87	gcaisawesome	4
87	mads388a	4
87	Werbe	4
87	seramalen	4
87	lizardfightclub	4
87	sp00ky_ghost977	4
87	Segotep999	4
96	dudcreeper	3
96	Merv__	3
96	KarlKaek	3
96	Batman922	3
96	SpaceGrenadier	3
96	Historical_Sand	3
96	Sleepy_Time_	3
96	thescout7	3
96	Jonte0599	3
96	Elastiq	3
96	EdGalbraith	3
96	yulgur1	3
96	NomadicRobin_	3
96	EveryonesUncle	3
96	Benzito07	3
96	Barlycorn	3
96	mihimihimihi	3
96	Luigipunch989	3
96	Ezekson	3
96	561cool	3
116	lunaticusx	2
116	Cowison	2
116	PazinGaming	2
116	Wooptey	2
116	baxteerr	2
116	ztsy	2
116	Vizzoid	2
116	CliffEmAll	2
116	_Nuf	2
116	lordsaladito	2
116	Fullut	2
116	xxPipperDipperxx	2
116	Rumpletaezer	2
116	kars0n	2
116	fkGrim	2
116	luseis	2
116	Dakar_	2
116	HellsSponge	2
116	_Karmaa	2
116	Blu3beast	2
116	Toriankel	2
116	geekbird	2
116	Eraxa	2
116	Pumpkin_P_Patch	2
116	Soplight	2
116	Skippeh	2
116	FGamerJ	2
116	TheSandwhich_	2
116	vandmanden	2
116	JayToe	2
146	xExpresso	1
146	dabloons	1
146	BigBootyHudge	1
146	shineh10	1
146	xXTheWolfmanXx	1
146	Hyugo	1
146	Franco093	1
146	T045RTY	1
146	peach0s	1
146	ShedJr_	1
146	rarrq	1
146	Euclidoris	1
146	Auseawesome	1
146	ratglock	1
146	m_be9	1
146	corvidpartyfor6	1
146	blockgamer_69	1
146	SellyZ	1
146	r123moore	1
146	Resner	1
146	BlueZabu	1
146	crashomon	1
146	Winklepicker279	1
146	CollinMH06	1
146	Marbz_	1
146	legal_tax_evader	1
146	bubbLyPrototype	1
146	RebytreGT	1
146	ApophisNova	1
146	Onennon	1
146	Mattesco	1
146	DanielMmm	1
146	PigDab	1
146	MousePlays	1
146	fxiryglitch	1
146	Hail_the_wombat	1
146	ChrisKyleST3	1
146	Inbefour	1
146	Thomez_	1
146	MinuteMira	1
146	NameGenerat0r	1
146	GravitySaint	1
146	Hisiste	1
146	lordpipe	1
146	cum_chalice	1
146	__tomato	1
146	c0la_c0ca	1
146	Ryn777	1
146	Dreamdbr14	1
146	Dr0xzy	1
146	taengoos	1
146	MyNamaSheff	1
146	OutcryOfEnkidu	1
146	h2p_emrld	1
