rank	username	minecraft:dropped/minecraft:granite_stairs
1	Smoke____	141
2	Malorn_Aetherius	64
3	Steelynan	17
4	RobotMinion101	10
5	SellyZ	7
6	groofles	4
6	Soplight	4
6	kinas45y5	4
9	DarlaMeow	3
9	tartanboy	3
9	TechnoNinja64	3
12	YungMaki	2
12	PortlyPete69	2
14	TheShyPig	1
14	Frozil12	1
14	PlasticOtari	1
