rank	username	minecraft:dropped/minecraft:target
1	500am	400
2	noam464	290
3	thewindmillman	173
4	EcksD	43
5	oxfordschool	19
6	eitanzaki	3
6	SteveCraftBlocks	3
8	Inchef	2
9	Di_infiri	1
9	Hyp3rion_	1
9	PigDab	1
9	Deathkob	1
9	Spacewardharpy7	1
