rank	username	minecraft:dropped/minecraft:blackstone_slab
1	thewindmillman	20395
2	eitanzaki	496
3	AltnumberF4	380
4	Blaiku	318
5	lillips	242
6	Werbe	200
6	AssEatrAndLicker	200
8	noam464	164
9	Enderslayerxz3	64
10	EcksD	38
11	set67	28
12	PigDab	23
13	JEWISHBadenBeele	20
14	EveryonesUncle	16
15	Billious	10
15	ogoa	10
17	TheSecondLord	7
17	YungMaki	7
19	T045RTY	6
19	egglapras	6
21	beeperbeeper5	5
21	cichy096	5
23	RebelAndroid	3
23	Marbz_	3
25	titanlax	2
25	mwrty	2
25	Hyp3rion_	2
28	Cowison	1
28	kekhon	1
28	500am	1
28	Xalithia	1
28	ROY4LE	1
28	Freak_Genius	1
28	bluefragmentt	1
28	fluddd	1
28	Spacewardharpy7	1
28	Spenduh	1
28	trexgb	1
