rank	username	minecraft:dropped/minecraft:cooked_salmon
1	Akoot_	536
2	__tomato	336
3	kekhon	292
4	rarrq	212
5	_TCARREIRA_	189
6	Blackberry1310	185
7	LordSpeed37	173
8	JayToe	161
9	Soplight	138
10	chipklip	119
11	MyNameIsJobo	94
12	himak1	83
13	stahouo	75
14	k1ngGilgamesh	64
15	Scathra	62
16	luckykill123	55
17	Kyrum2169	54
18	Blaiku	52
19	Hyp3rion_	51
20	Bumpy419	45
21	ayamefag	43
22	mwrty	42
22	MitexFTW	42
24	2Stout	36
24	Kateesaur	36
26	stuy9	34
27	Snowflowe	33
27	Blu3beast	33
29	censorsheep	32
30	Powowowow	31
31	SuperPooch06	27
32	KarlKaek	25
33	jimintyy	23
34	_Nuf	22
34	Njensen7	22
36	Reamdin	20
36	ApophisNova	20
36	MyNamaSheff	20
39	Ardennes	17
39	Covalents	17
39	Di_infiri	17
39	lcvezra	17
39	PortlyPete69	17
44	Frozil20	16
44	Fullut	16
44	TheTrueClipse	16
44	Blamphe	16
44	AvaRosey	16
49	2_young_2_die	14
50	Groovy_MoonBird	13
50	thewindmillman	13
50	Dusk_95	13
53	Bandito_Roamer	12
53	SaucyDark	12
53	LeauVox4921	12
53	RodSerlingCringe	12
53	pixelviolin	12
53	Northernrabbit	12
59	eitanzaki	11
59	beeperbeeper5	11
59	diggydog67	11
62	joethahobo	10
62	Jackattack53	10
62	RyuNeko932000	10
62	fluddd	10
62	NATE_the_HALO	10
67	Franco093	9
67	tramizu	9
67	Euclidoris	9
67	SteveCraftBlocks	9
67	jcool7	9
67	Skippeh	9
73	jacxhadow	8
73	fred870d	8
73	NomadicRobin_	8
73	EngagedGrub41	8
77	ssleepless	7
77	Racengan	7
77	BumbleBeever	7
77	oxfordschool	7
81	fanofbands101	6
81	Cowison	6
81	Mahoose	6
81	slkiey	6
81	_Minnty_	6
81	Dali1465	6
81	XxCookiequeenxX	6
81	EveryonesUncle	6
81	YungMaki	6
81	kinas45y5	6
91	H72l9w	5
91	TheSecondLord	5
91	UncreativeArtist	5
91	TheSeismicDuck	5
91	jnp_gaming	5
96	Menthas	4
96	NotP0tato	4
96	Comma__	4
96	Afinnity	4
96	RobotMinion101	4
96	DeeDeeThonk	4
96	Kynigito	4
96	BabyDaddy1	4
96	OfficerAnvil	4
105	TooManyDuck	3
105	CoffeeNoir	3
105	12Magner05	3
105	ROY4LE	3
105	xxPipperDipperxx	3
105	CaptainSteve345	3
105	BRRRN179	3
105	ClemenPine	3
105	lizardfightclub	3
105	Inbefour	3
105	ChronoSounds	3
105	mihimihimihi	3
105	somegirl12_	3
105	Segotep999	3
105	Spenduh	3
105	Smoke____	3
105	SilentKarma	3
122	PhantomsGhost_	2
122	diamondgolem35	2
122	elementorix	2
122	ProfessorBee	2
122	crying_wolf_13	2
122	egglapras	2
122	Jaseisverycool	2
122	noam464	2
122	DirtyBoar	2
122	mimbo1211	2
122	Ecplosive	2
122	ImDisconnected_	2
122	loveseeker	2
122	Rumpletaezer	2
122	DarlaMeow	2
122	claivin	2
122	StinkyDiplomat	2
122	Freak_Genius	2
122	Xclax101	2
122	Razzgriz	2
122	SammiWolfGirl	2
122	ProbsNotNova	2
122	Nicserso	2
145	EMC_	1
145	Lukeee33	1
145	Zippyzam	1
145	T045RTY	1
145	NinjaKnifeKill	1
145	MSK__	1
145	GingerNeutron	1
145	Z3braYTIL	1
145	emrekn	1
145	TableTim	1
145	Kakolbus	1
145	BlueZabu	1
145	Windo_licker	1
145	Giannism	1
145	AJplaysMC_	1
145	Chromary	1
145	RacismIsBadDude	1
145	Zythose	1
145	burbankbuilder28	1
145	impossibleteapot	1
145	Hiryu27	1
145	ooga47	1
145	Onennon	1
145	_naturell	1
145	Maenara	1
145	audiocracked	1
145	masskedman	1
145	DemTechAlpha	1
145	1442	1
145	_Karmaa	1
145	SwooshBoi	1
145	MovingFish7	1
145	Eraxa	1
145	Kowcio_	1
145	MineMaster0012	1
145	stellarjay	1
145	APS_Dan	1
145	LeeMcGee30	1
145	xX_Stalin69_Xx	1
145	mawileite	1
145	Steelynan	1
145	Miko_Fullbuster	1
145	Enderslayerxz3	1
