rank	username	minecraft:dropped/minecraft:polished_basalt
1	thewindmillman	6242
2	noam464	2405
3	eitanzaki	1044
4	Werbe	963
5	AdmiralSmoke	735
6	beeperbeeper5	584
7	Skylord_Luke	451
8	Eraxa	312
9	iSammael	292
10	joethahobo	284
11	LoboTheLobster	266
12	Blackberry1310	232
13	Blaiku	226
14	lordpipe	196
15	Enderxz3	128
16	mihimihimihi	119
17	rarrq	118
18	Chromary	78
19	luseis	69
20	12Magner05	65
21	masskedman	64
22	set67	63
23	Snowflowe	61
24	kekhon	59
25	Racengan	53
26	PigDab	52
27	Mahoose	40
28	ECstardust	34
29	Archsam	26
29	weabis	26
31	XboxPanda	21
32	xolstoi	19
33	Di_infiri	15
33	lizardfightclub	15
33	FreakGenius	15
36	TheSecondLord	14
37	EveryonesUncle	13
38	Arceus1975	11
39	Shogunite	10
39	ChronoSounds	10
41	RebelAndroid	8
42	FuxS0cy	7
43	PazinGaming	6
43	Huwulling	6
43	Elastiq	6
43	jnp_gaming	6
47	k_ce	5
47	T045RTY	5
47	YungMaki	5
50	diamondgolem35	4
50	Incinere	4
50	eclipseboi	4
50	Mookle96	4
50	RIPB0ZO	4
50	ogoa	4
50	NameGenerat0r	4
50	Ze_BaronKrigler	4
50	Nicserso	4
59	bigstankyy	3
59	JETrotter	3
59	LeonelSalamanca	3
59	Fuad_R	3
59	djancak	3
64	SyntheticSurgeon	2
64	Sleepy_Time_	2
64	Fullut	2
64	ScootOfBoot	2
64	Mattesco	2
64	monky_irl	2
64	Decaying_Lotus	2
64	Hermanni__	2
64	ConnorDanky_	2
64	MadmanRaven	2
74	Merv__	1
74	Lez_	1
74	Crowman1	1
74	excelsionprime	1
74	4774	1
74	r123moore	1
74	drunkeeez	1
74	Jackattack53	1
74	NomadicRobin_	1
74	XxCookiequeenxX	1
74	ZoomieZoomie	1
74	Skippeh	1
74	EcksD	1
74	00000000-0000-0000-0009-01ff0c3e5e4f	1
