rank	username	minecraft:dropped/minecraft:pink_carpet
1	thewindmillman	5269
2	joethahobo	253
3	noam464	98
4	Segotep999	66
5	beeperbeeper5	64
5	lordpipe	64
7	Cocoamallows	63
8	heckface	51
9	RebelAndroid	47
10	Crowman1	33
11	KingMatthew506	31
12	EveryonesUncle	21
12	Kowcio_	21
14	TheSecondLord	9
15	Spacewardharpy7	8
15	djancak	8
17	_Dean_123	7
18	Blackberry1310	3
18	wrinkledpiglet	3
18	YungMaki	3
18	EcksD	3
22	SoosAmongus	2
22	SyntheticSurgeon	2
22	eviltunix	2
22	AlexxO_o	2
22	Blaiku	2
22	Kura2218	2
28	Killercatty78	1
28	Comma__	1
28	Smashic	1
28	Motsaro	1
28	Di_infiri	1
28	HellsSponge	1
28	monky_irl	1
28	xzvu	1
28	lcvezra	1
28	Steelynan	1
28	TechnoNinja64	1
