rank	username	minecraft:dropped/minecraft:lapis_ore
1	Frozil20	27891
2	PigDab	269
3	EcksD	217
4	gcaisawesome	180
5	Spacewardharpy7	166
6	thewindmillman	140
7	Werbe	109
8	Steelynan	95
9	YungMaki	85
10	joethahobo	76
11	eitanzaki	73
11	RealGroot	73
13	Di_infiri	71
14	Blaiku	68
15	noam464	59
16	seramalen	46
17	ITDV	32
18	Hyp3rion_	30
19	Mahoose	27
20	Hisiste	22
21	teslawolf38	21
21	xDraggin	21
23	Kura2218	17
24	beeperbeeper5	16
25	thescout7	13
26	_Virify_	12
26	gaziter10	12
26	boog4loo	12
26	EveryonesUncle	12
26	Kowcio_	12
26	Smoke____	12
32	Rebytre	11
32	luseis	11
32	lordpipe	11
32	_Yonk_	11
32	bladeefan2009	11
37	Bandito_Roamer	10
37	Isaac70096	10
37	WET_WET_WET	10
37	_Tilariel_	10
41	ImpavidArcher	9
41	MrKrabOnCoke	9
41	titanlax	9
41	Blackberry1310	9
41	MrExplorer	9
41	NameGenerat0r	9
41	Blu3beast	9
48	Fullut	8
48	Jackattack53	8
48	ZA07	8
48	SUN_DREAM	8
48	noodlesforbrains	8
48	Skippeh	8
54	Swexti	7
54	SDMNAEK	7
54	Smashic	7
54	fkGrim	7
54	lillips	7
59	weabis	6
59	UCP_TheKingK	6
59	jcool7	6
59	FishisTTV	6
63	MOSS000	5
63	Kamflame10	5
63	Skylord_Luke	5
63	AlexxO_o	5
63	FishyBoy3811	5
63	DTwenty	5
63	mihimihimihi	5
63	IvarEXE	5
63	GlitchyPlate810	5
63	Zoeyfortnite	5
73	CadenSteele	4
73	Esme_1	4
73	500am	4
73	lorpus	4
73	Chromary	4
73	Sqwishy	4
73	Maenara	4
73	Akoot_	4
73	Fuad_R	4
73	Shogunite	4
73	claivin	4
73	Hermanni__	4
73	Kubeusz2010	4
73	MissCeleste7	4
73	jnp_gaming	4
88	SmashingPump	3
88	Mewar	3
88	burbankbuilder28	3
88	NomadicRobin_	3
88	FreddyFart	3
88	fluddd	3
88	Barlycorn	3
88	Cocoamallows	3
88	__tomato	3
97	mattybeewrapss	2
97	Kkanot	2
97	Hanselhoof	2
97	XboxPanda	2
97	CrateOfBoxes	2
97	Donutt	2
97	BronkerBrum	2
97	Onennon	2
97	Lord_Jord	2
97	Wowful	2
97	binman420	2
97	gustarlep	2
97	Racengan	2
97	verynothing	2
97	SammiWolfGirl	2
97	MilleGrug	2
97	Njensen7	2
97	FelixPSY375	2
97	TechnoNinja64	2
116	ProbablyNick	1
116	I_Am_Mushkin	1
116	Flores991	1
116	T045RTY	1
116	Lez_	1
116	kaziroki	1
116	MinttyFressh	1
116	Inchef	1
116	2Stout	1
116	groofles	1
116	fw3xywashere	1
116	DarlaMeow	1
116	HellsSponge	1
116	Quaintster	1
116	GravitySaint	1
116	malgosia14	1
116	Groundler	1
116	MovingFish7	1
116	AssFullaCum	1
116	xzvu	1
116	non089	1
116	PortlyPete69	1
116	laron58	1
116	ConnorDanky_	1
