rank	username	minecraft:dropped/minecraft:enchanting_table
1	Hyp3rion_	65
2	Jackattack53	64
3	Yamdalorian	4
4	orxngejuice	2
4	AspenLightVT	2
4	cichy096	2
7	Merv__	1
7	eitanzaki	1
7	YairZaki	1
7	Mahoose	1
7	Euclidoris	1
7	500am	1
7	intropass	1
7	SPUDonSTEROIDS	1
7	noam464	1
7	U_Mos_	1
7	kars0n	1
7	Voxin2K	1
7	k1ngGilgamesh	1
7	jewbacaman	1
7	Tyrannosplart	1
7	Quincannon	1
7	Xclax101	1
7	fluddd	1
7	Blaiku	1
7	Matorz	1
7	silverpopcorn	1
7	cytotoxaint	1
7	ReyTheLegend	1
7	SSytex_X	1
7	xzvu	1
7	miramyu	1
7	Kubeusz2010	1
7	Iamthejo	1
7	EcksD	1
7	camando92	1
7	TheWickedBird	1
7	Faart	1
