rank	username	minecraft:dropped/minecraft:brick_wall
1	thewindmillman	41
2	beeperbeeper5	27
3	rarrq	7
4	weabis	6
5	eitanzaki	4
6	Jovaphobic	2
6	Mattesco	2
6	fkGrim	2
6	TechnoNinja64	2
10	Merv__	1
10	420BreadLizard	1
10	Blaiku	1
10	Eraxa	1
10	Steelynan	1
