rank	username	minecraft:dropped/minecraft:salmon
1	thewindmillman	11241
2	Racengan	4285
3	WyngGoy	3012
4	Hyp3rion_	2026
5	kekhon	831
6	Skippeh	628
7	Megarboh	480
8	ImpavidArcher	449
9	Nyxiom_	421
10	ediballbearings	360
11	Barlycorn	320
12	Lez_	303
13	Jackattack53	264
14	Fullut	233
15	FreakGenius	215
16	Blackberry1310	211
17	Ezekson	197
18	MeanTugger	189
19	XboxPanda	171
20	ayamefag	166
21	luseis	137
22	Xalithia	136
23	_witch_craft_	134
24	QueenShuvi	116
25	Yamdalorian	113
26	knarian	105
27	joethahobo	104
28	soundad	89
29	Blaiku	85
30	eitanzaki	83
31	jnp_gaming	75
32	PlasticOtari	73
33	Mahoose	72
34	MovingFish7	71
35	Soplight	67
36	Huwulling	65
36	Mewar	65
38	MyNameIsJobo	64
38	PortlyPete69	64
40	Eczbek	62
41	Werbe	59
42	cutelilreno	55
43	NomadicRobin_	53
44	Jimb0nat0r	50
45	Comma__	46
46	12Magner05	45
47	TechnoNinja64	42
48	k_ce	40
48	Alteriity	40
50	Spenduh	38
51	Frozil20	37
52	Auseawesome	36
52	EveryonesUncle	36
52	Eraxa	36
55	TrNrGhost	35
55	Akoot_	35
57	Bumpy419	34
57	oscminus	34
57	djancak	34
60	Kyrum2169	33
61	craaaash	32
62	claivin	31
63	shadowthemonkey	28
64	Tyrannosplart	27
64	OverallConcept	27
66	beeperbeeper5	26
66	PigDab	26
66	JESS_THE_RERE	26
66	xzvu	26
70	Spacewardharpy7	25
71	SnowfallUwU	22
71	noam464	22
71	miramyu	22
71	Jordan_R	22
71	calamariclam_I	22
76	AuroraValkyrie	21
76	Isaac70096	21
76	masskedman	21
76	Dogcorn69420	21
80	non089	20
81	pintsizedrogue	19
81	catandmoose	19
81	Kowcio_	19
81	EcksD	19
85	RobotMinion101	17
86	Chickenchaser2	16
86	Snowflowe	16
86	Hiryu27	16
86	Groundler	16
90	Groovy_MoonBird	15
90	PazinGaming	15
90	mimbo1211	15
90	stavgod	15
94	robonya_	14
95	Incinere	13
95	legal_tax_evader	13
95	Arceus1975	13
95	Blu3beast	13
95	Quotary	13
95	Faart	13
101	Nach0Bear	12
102	seanitoo	11
103	Bandito_Roamer	10
103	skatch212	10
103	royal_2	10
103	burbankbuilder28	10
103	CattSoup	10
108	excelsionprime	9
108	the_russell1611	9
108	hermmm_	9
108	Enderxz3	9
108	Spaghettatron	9
113	_Razaria	8
113	teqilas	8
113	NieToksikpl	8
113	Saucepeh	8
113	pappaberg	8
113	kitlash	8
113	Iamthejo	8
120	SaucyDark	7
120	rarrq	7
120	Prodiginus	7
120	m_be9	7
120	thescout7	7
120	lorpus	7
120	eviltunix	7
120	Maenara	7
120	PlzNoBM	7
120	BreadBacon	7
120	es0th	7
131	CLG_Kata	6
131	Azorathum	6
131	Iagoku	6
131	Wooptey	6
131	gaziter10	6
131	MattieHD	6
131	Studio4x32	6
131	ApophisNova	6
131	Mattesco	6
131	XeroByMyth	6
131	IamCL4SSY	6
131	Lord_Jord	6
131	Manaateee	6
131	lordpipe	6
131	doublemaki	6
131	Celeste_121	6
131	MyNamaSheff	6
131	Powowowow	6
131	TwinTowerV2	6
150	j5ylim	5
150	Sleepy_Evelyn	5
150	Secret_Canary	5
150	SteveCraftBlocks	5
150	pumpfonzo	5
150	fr_ser	5
150	AJplaysMC_	5
150	hanaryheatwave	5
150	Donutt	5
150	ScootOfBoot	5
150	Shortest_	5
150	Avocadogerms	5
150	Xclax101	5
150	MightyWertu	5
150	ConnorDanky_	5
150	HesDemonPants	5
166	ECstardust	4
166	Caribouse	4
166	T045RTY	4
166	Julmish	4
166	Historical_Sand	4
166	Crowman1	4
166	TheSecondLord	4
166	WET_WET_WET	4
166	TheShyPig	4
166	fw3xy	4
166	sufjanlover	4
166	StinkyDiplomat	4
166	El_Jalapeno	4
166	SvenskaHugo	4
