rank	username	minecraft:dropped/minecraft:brown_wool
1	noam464	54700
2	thewindmillman	51369
3	EcksD	22106
4	HellsSponge	7571
5	Hyp3rion_	3096
6	eitanzaki	1069
7	beeperbeeper5	749
8	CattSoup	640
9	PhantomsGhost_	514
10	ConnorDanky_	416
11	TheKingK_	378
12	Smashic	326
13	NameGenerat0r	320
14	Blaiku	292
15	77Holly7	251
16	emreknugrlu	192
17	Chromary	191
18	LuvLuvLove	186
19	AlexxO_o	185
20	Lez_	155
21	joethahobo	144
22	Werbe	131
23	ImpavidArcher	129
24	mariominejedi	128
25	PigDab	95
26	NomadicRobin_	87
27	Kowcio_	80
28	EveryonesUncle	68
29	Spenduh	65
30	Alteriity	64
30	MeanTugger	64
30	Shogunite	64
30	Quaintster	64
30	_Mythic____	64
30	hermmm_	64
36	PlzNoBM	59
37	RebelAndroid	55
38	Huwulling	54
39	Segotep999	42
40	rarrq	34
41	_Huge_Male_	25
42	blackeemperor	22
43	Crowman1	19
44	Jiminbub	17
45	Kura2218	15
46	k_ce	13
46	TechnoNinja64	13
48	KingMatthew506	10
49	ApophisNova	9
49	MyNamaSheff	9
51	EMC_	8
52	Reamdin	7
52	burbankbuilder28	7
54	lorywithay	5
54	Di_infiri	5
54	jcool7	5
57	gren_ben	4
57	Secret_Canary	4
57	07shiny	4
57	xzvu	4
61	Mr_Byzantine	3
61	CLG_Kata	3
61	BlancoFlaco	3
61	Cryptacity	3
61	Hetti301	3
61	yheece	3
61	Jackattack53	3
61	Bumpy419	3
61	Skylord_Luke	3
61	yulgur1	3
61	luseis	3
61	nonarso	3
61	Powowowow	3
61	trexgb	3
75	j4ck811	2
75	NatalieTW	2
75	heysushii	2
75	dudcreeper	2
75	shineh10	2
75	mymayowasgone	2
75	ZaneABrain	2
75	MrKrabOnCoke	2
75	Tersea_	2
75	kekhon	2
75	Studio4x32	2
75	prizm_	2
75	trixterrx	2
75	Rumpletaezer	2
75	goldyx	2
75	groofles	2
75	masskedman	2
75	Vol_Rod33	2
75	MAns_44	2
75	FreakGenius	2
75	QueenShuvi	2
75	Barlycorn	2
75	ZeaBaron	2
75	SvenskaHugo	2
75	Chuglyfe	2
75	_i_ERROR_i_	2
75	Steelynan	2
75	EngagedGrub41	2
75	Ezekson	2
75	Jimb0nat0r	2
75	Calbo_	2
106	aangwie	1
106	Groovy_MoonBird	1
106	lunaticusx	1
106	MuffinManzz	1
106	Bandito_Roamer	1
106	Apollo_993	1
106	TildaAndrea	1
106	ECstardust	1
106	Niklas20114552	1
106	DepressedCubic	1
106	bigstankyy	1
106	Ryan_GEMS	1
106	hm947	1
106	Killercatty78	1
106	Vynser	1
106	T045RTY	1
106	Morgf	1
106	Prismyst	1
106	PhantomBionic	1
106	ShedJr_	1
106	Archsam	1
106	Myszoaz	1
106	Historical_Sand	1
106	Alfred603	1
106	Ganjier	1
106	Pofen	1
106	picardred	1
106	Blackberry1310	1
106	ratglock	1
106	I_Moose	1
106	TheSecondLord	1
106	MinttyFressh	1
106	MattieHD	1
106	_Dean_123	1
106	i2f8x4h8ro	1
106	excelsionprime	1
106	Blazebit	1
106	himak1	1
106	yuuxxii	1
106	SellyZ	1
106	hcb238	1
106	mimbo1211	1
106	TableTim	1
106	Kakolbus	1
106	0nly_sn1per	1
106	craaaash	1
106	shadowthemonkey	1
106	nitram49b	1
106	Pandarus_	1
106	milltesco	1
106	AJplaysMC_	1
106	Jonafrog99	1
106	Inconvenionce	1
106	K2IROS	1
106	The11thDoctor	1
106	F_Uhre	1
106	Akoot_	1
106	That_tech_head	1
106	fkGrim	1
106	sufjanlover	1
106	balin55	1
106	Blu3beast	1
106	censorsheep	1
106	Racengan	1
106	Vorlice	1
106	ItsDeltaMC	1
106	lilguppy	1
106	ayamefag	1
106	Sank34	1
106	doublemaki	1
106	djancak	1
106	SammiWolfGirl	1
106	Luigipunch989	1
106	Celeste_121	1
106	PortlyPete69	1
106	Erased_Identity	1
106	taengoos	1
106	Quotary	1
106	FGamerJ	1
106	UrbanPlanningEx	1
106	2blox_	1
106	es0th	1
106	Yamdalorian	1
106	_Dri_	1
106	Faart	1
106	00000000-0000-0000-0009-01ff0c3e5e4f	1
