rank	username	minecraft:dropped/minecraft:beehive
1	500am	1536
2	Manaateee	129
3	thewindmillman	78
4	Auseawesome	66
5	noam464	38
6	Di_infiri	35
7	eitanzaki	33
8	Mahoose	25
9	Lord_Jord	21
9	luseis	21
11	PhantomsGhost_	14
12	FreakGenius	13
13	Blackberry1310	12
14	Rebytre	10
15	ECstardust	7
16	ImpavidArcher	5
16	thescout7	5
16	EcksD	5
19	HellsSponge	4
19	djancak	4
21	Inchef	3
22	Kakolbus	2
22	EveryonesUncle	2
24	hm947	1
24	aramis158	1
24	12Magner05	1
24	kekhon	1
24	ROY4LE	1
24	xxPipperDipperxx	1
24	Kynigito	1
24	DC_XII	1
24	Lord_Zacler	1
24	Blaiku	1
24	_Mythic____	1
24	YungMaki	1
24	ConnorDanky_	1
24	PlasticOtari	1
24	Zoeyfortnite	1
24	WYFYoyo	1
24	AdmiralSmoke	1
24	FishisTTV	1
