rank	username	minecraft:dropped/minecraft:chorus_flower
1	Smoke____	96
2	PigDab	37
3	kekhon	30
4	Zoeyfortnite	20
5	Dogcorn69420	19
6	beeperbeeper5	16
7	thewindmillman	11
8	Fullut	6
9	Freak_Genius	5
9	TechnoNinja64	5
9	Wanjibon	5
12	SteveCraftBlocks	4
12	MakeHistory157	4
14	xxPipperDipperxx	3
14	noam464	3
14	stahouo	3
17	Mahoose	2
17	m_be9	2
17	HellsSponge	2
17	Blu3beast	2
17	UrbanPlanner1978	2
22	TheSecondLord	1
22	bloodbiter	1
22	redikul	1
22	Awyrlas	1
22	Windo_licker	1
22	Donutt	1
22	Werbe	1
22	iElijah	1
22	epiksk8erduck	1
22	OtariCharlie	1
22	Wowful	1
22	AssEatrAndLicker	1
22	Ze_BaronKrigler	1
22	33sudo	1
22	ediballbearings	1
22	MilleGrug	1
22	h2p_emrld	1
