rank	username	minecraft:dropped/minecraft:red_candle
1	k_ce	12
2	_Huge_Male_	6
3	pintsizedrogue	4
4	thewindmillman	3
5	pixelviolin	2
6	PazinGaming	1
6	Huwulling	1
6	Crowman1	1
6	imcombxt	1
6	Jackattack53	1
6	FiguraDei	1
6	Soplight	1
6	DairyNickel756	1
