rank	username	minecraft:dropped/minecraft:dark_oak_wood
1	SuperPooch06	271
2	Werbe	128
3	noam464	101
4	GlitchyPlate810	42
5	eitanzaki	36
6	500am	27
7	M_Patata	24
8	MasterNueve	23
9	rarrq	20
10	Kowcio_	18
11	Touched_Bread	17
12	RohnJosin	14
13	BlankityMcBlank	12
14	NameGenerat0r	9
15	fred870d	6
15	Russiancat1	6
15	Blaiku	6
18	EveryonesUncle	5
19	ImpavidArcher	3
19	The11thDoctor	3
19	microcrisp	3
22	kekhon	2
22	Di_infiri	2
22	Nycteus_	2
22	Hisiste	2
26	avalan64	1
26	Shogunite	1
26	Sheldor097	1
26	2blox	1
