rank	username	minecraft:dropped/minecraft:polished_andesite
1	Spacewardharpy7	15468
2	noam464	6066
3	TechnoNinja64	1789
4	EcksD	1024
5	Xclax101	581
6	lordpipe	381
7	kekhon	375
8	beeperbeeper5	372
9	lcvezra	338
10	cog	279
11	Werbe	268
12	ProbsNotNova	262
13	Freak_Genius	227
14	Lord_Jord	212
15	MattieHD	209
16	Historical_Sand	203
17	Jackattack53	193
18	jimintyy	189
19	CaptainDeadBread	188
20	Groovy_MoonBird	185
21	Inchef	179
22	Matorz	164
23	_Nuf	156
24	Maenara	150
25	EcksDofficial	148
26	wTXop	136
27	Di_infiri	133
28	Blaiku	128
28	layabout100	128
28	h2p_emrld	128
31	Frozil12	125
32	rarrq	121
33	6king6colt6	116
34	Natty	100
35	500am	98
36	fw3xywashere	96
37	Sral7	95
38	Quaintster	82
38	HesDemonPants	82
40	Kamflame10	81
41	burbankbuilder28	79
42	12Magner05	77
43	El_Jalapeno	70
44	HellsSponge	67
45	Nagasaki_Riku	65
46	Jovaphobic	64
46	Simon_Lowell	64
46	Bumpy419	64
46	_TCARREIRA_	64
46	jnp_gaming	64
51	Smoke____	58
52	eitanzaki	56
53	Blu3beast	53
54	q_wq	52
55	joethahobo	44
55	Spenduh	44
57	Kakolbus	43
58	Ssor69	42
58	chipklip	42
58	censorsheep	42
58	obzii	42
62	Uzbeki_John	40
63	Blackberry1310	38
64	diamondgolem35	35
65	Mahoose	33
65	EveryonesUncle	33
67	T045RTY	30
67	MightyWertu	30
69	Cowison	28
69	SuperPooch06	28
69	Dusk_95	28
69	VentiHilton	28
73	SyK7	27
73	Akoot_	27
75	numbra	25
75	Kubelz	25
77	AnnieBathory	24
78	seramalen	22
79	AlazelTheReal	21
80	loveseeker	19
80	Skylord_Luke	19
82	seanitoo	18
82	Onennon	18
82	Racengan	18
82	jcool7	18
86	_Karmaa	17
87	djancak	16
88	thewindmillman	15
89	Shogunite	13
90	XxCookiequeenxX	12
90	Kyrum2169	12
92	TheShyPig	11
92	alderban107	11
92	Quotary	11
95	YungJakobo	9
96	Scathra	8
96	ApophisNova	8
96	KliBeast21	8
96	MyNamaSheff	8
96	TheRealHi	8
101	pintsizedrogue	7
101	CalebDHawk	7
101	Ezekson	7
104	Fullut	6
104	Chromary	6
104	Hyp3rion_	6
104	__tomato	6
104	Njensen7	6
109	Sabby65	5
109	H72l9w	5
109	Lord_Zacler	5
109	Kowcio_	5
113	AuroraValkyrie	4
113	TheMaster972	4
113	Da_Boss_Rani	4
113	ratglock	4
113	BlueZabu	4
113	Snowflowe	4
113	SexcMf	4
120	SteveCraftBlocks	3
120	Winklepicker279	3
120	CollinMH06	3
120	Inbefour	3
120	carbo_bro	3
120	oxfordschool	3
120	Legendosh	3
127	soundad	2
127	Tommhh	2
127	NotP0tato	2
127	Incinere	2
127	Franco093	2
127	Myszoaz	2
127	SquadMonster	2
127	tramizu	2
127	bloodbiter	2
127	m_be9	2
127	Kazekage	2
127	theonlymagikarp	2
127	Marbz_	2
127	mick407	2
127	Nicky19	2
127	NameGenerat0r	2
127	Nycteus_	2
127	Groundler	2
145	littlesophiagirl	1
145	Drlzyy	1
145	Merv__	1
145	awesomeoneme	1
145	Jackster03	1
145	Comma__	1
145	crying_wolf_13	1
145	Stiar	1
145	r123moore	1
145	Freeman666	1
145	brycepants	1
145	AlphaWolfPlaysMC	1
145	Soap_Bender	1
145	ProfessorDiaper	1
145	Warlord324	1
145	ayamefag	1
145	Fizznut909	1
145	stahouo	1
145	SammiWolfGirl	1
145	GlitchyPlate810	1
145	Sheldor097	1
145	KingMatthew506	1
145	Steelynan	1
145	Wolverine4302	1
145	Enderslayerxz3	1
