rank	username	minecraft:dropped/minecraft:andesite_stairs
1	lordpipe	192
2	EcksDofficial	65
3	Sheldor097	28
4	kekhon	24
5	Seyaboy	18
6	RoskobiOne	16
7	Ardennes	15
7	Freak_Genius	15
9	Decaying_Lotus	12
10	Jackster03	9
11	NotMeanttoChange	7
12	Cryptacity	6
12	TheSecondLord	6
14	Drlzyy	4
14	diamondgolem35	4
14	lotarp	4
14	Fullut	4
14	Flapjacker687	4
14	xxPipperDipperxx	4
14	EveryonesUncle	4
21	eitanzaki	3
21	500am	3
23	Historical_Sand	2
23	tartanboy	2
23	EcksD	2
23	JayToe	2
27	Sleek_Storm_721	1
27	rarrq	1
27	Malorn_Aetherius	1
27	Onennon	1
27	Shiirazuku	1
27	TheShyPig	1
27	Lord_Jord	1
27	Jamstroxian	1
27	Blaiku	1
27	Eraxa	1
27	CalebDHawk	1
27	jcool7	1
27	Legendosh	1
