rank	username	minecraft:dropped/minecraft:glass_pane
1	lillips	1311
2	thewindmillman	862
3	beeperbeeper5	694
4	oxfordschool	551
5	joethahobo	498
6	noam464	435
7	Dusk_95	368
8	EcksDofficial	319
9	Freak_Genius	316
10	Onennon	262
11	stellarjay	237
12	rarrq	225
13	thescout7	192
13	Nekomin0	192
15	Di_infiri	176
15	Toriankel	176
17	cichy096	169
18	wTXop	128
18	_Karmaa	128
20	Hermanni__	124
21	Kubeusz2010	122
22	TechnoNinja64	110
23	eitanzaki	107
24	Dogcorn69420	102
25	Windo_licker	101
26	Ssor69	93
27	Arceus1975	89
28	EveryonesUncle	85
29	JMK208	84
30	ImpavidArcher	75
31	IAmTheWalrus910	74
32	Eraxa	73
33	EcksD	72
34	seanitoo	70
35	alderban107	68
36	Mahoose	67
37	claivin	66
37	Smoke____	66
39	r123moore	65
40	gcaisawesome	64
40	lcvezra	64
40	Lord_Lollo	64
43	ogoa	63
44	Merv__	62
45	Warlord324	61
46	Marbz_	59
46	fr_ser	59
48	dudcreeper	57
48	Xclax101	57
50	TheSecondLord	56
50	Fullut	56
52	laron58	52
53	SSytex_X	48
54	MightyWertu	46
55	JEWISHBadenBeele	45
55	Comma__	45
55	kekhon	45
55	TableTim	45
59	RedcatVII	44
60	Groovy_MoonBird	42
60	Nagasaki_Riku	42
62	Guillemet	39
63	Blackberry1310	37
64	_Dean_123	35
65	MattieHD	34
65	Deathkob	34
67	Meatlaugh	33
68	AnnieBathory	32
68	cedric72	32
68	MovingFish7	32
68	h2p_emrld	32
72	ewsophie	30
72	Blaiku	30
74	Auseawesome	29
75	Skippeh	28
76	Steelynan	27
77	Kkanot	26
78	intropass	24
78	madderfall	24
78	fluddd	24
81	Voxin2K	23
81	Shin69	23
83	killmeiamtraitor	22
84	dartwaffle	21
85	Hiryu27	19
85	DeeDeeThonk	19
85	PortlyPete69	19
88	mariominejedi	18
88	Russiancat1	18
88	Blu3beast	18
91	Lotheburgh	17
91	CoffeeNoir	17
91	Matek_	17
91	chipklip	17
95	benediktine1	16
95	gabriels543	16
95	TheTrueClipse	16
95	privatemeekly	16
95	Frozil12	16
95	Soplight	16
95	RadarHz	16
95	blackmage426	16
103	Inchef	15
104	SaucyDark	14
104	El_Jalapeno	14
104	Kowcio_	14
104	MeetTheWollo	14
108	surfinggiraffejp	13
108	Rumpletaezer	13
108	Racengan	13
111	diamondgolem35	12
111	RebelAndroid	12
111	Alteriity	12
111	Cryptacity	12
111	regulator75	12
111	SvenskaHugo	12
117	bigstankyy	10
117	Dedalus36	10
117	Ao_Ken	10
117	_Nuf	10
117	masskedman	10
117	__tomato	10
117	ediballbearings	10
117	2blox	10
125	Jovaphobic	9
125	Covalents	9
125	Soap_Bender	9
125	Njensen7	9
125	x86assembly	9
125	JayToe	9
131	EMC_	8
131	oreee	8
131	Vizzoid	8
131	CyrusIsTired	8
131	censorsheep	8
131	Zetsey	8
131	Dr0xzy	8
131	Sral7	8
131	Kateesaur	8
140	fallingemma	7
140	Dan_Scha	7
140	MyNameIsDakar	7
140	YungMaki	7
140	Ezekson	7
145	fr0stss	6
145	himak1	6
145	Norrhede	6
145	HAIRYCLOUD626	6
145	The11thDoctor	6
145	XeroByMyth	6
145	AuroraSkies	6
145	Jiminie	6
145	Cyntrical	6
154	BlancoFlaco	5
154	Whiterooster001	5
154	Nach0Bear	5
154	Awyrlas	5
154	DaviusMaximoose	5
154	TheShyPig	5
154	SkateboardR6	5
154	KingMatthew506	5
162	wickedword	4
162	SteveCraftBlocks	4
162	yaboo88	4
162	fw3xywashere	4
162	Spenduh	4
162	ItsJunoIGuess	4
162	FGamerJ	4
169	pintsizedrogue	3
169	Incinere	3
169	12Magner05	3
169	Gingayy	3
169	_8man	3
169	BronkerBrum	3
169	Skylord_Luke	3
169	Werbe	3
169	RobotMinion101	3
169	PigDab	3
179	Menthas	2
179	q_wq	2
179	FirsTimeGamingTV	2
179	Khelvoryk	2
179	MinttyFressh	2
179	emrekn	2
179	2Stout	2
179	SHAOBADMAN	2
179	FennYuzuna	2
179	WET_WET_WET	2
179	Hyp3rion_	2
179	burbankbuilder28	2
179	Aerqophs	2
179	moonman169	2
179	Sky_light_KING	2
179	the__Reaper4999	2
179	lordpipe	2
179	pixelviolin	2
179	djancak	2
179	TheGameArchitect	2
179	PlasticOtari	2
179	FishisTTV	2
201	littlesophiagirl	1
201	Ev0luti0nz	1
201	squigglybones	1
201	Iagoku	1
201	hm947	1
201	ZaneABrain	1
201	ShedJr_	1
201	Swexti	1
201	Rich_Kat	1
201	Stiar	1
201	M_Patata	1
201	swag_bro2004	1
201	Jackattack53	1
201	epiksk8erduck	1
201	jewbacaman	1
201	RodSerlingCringe	1
201	Wowful	1
201	Lord_Zacler	1
201	Shogunite	1
201	Spacewardharpy7	1
201	Airem_Core	1
201	MasterNueve	1
201	Luigipunch989	1
201	xof_on_microwave	1
201	MilleGrug	1
201	_Wannabe_	1
201	mobunni	1
201	Calbo_	1
201	diggydog67	1
