rank	username	minecraft:dropped/minecraft:cauldron
1	thewindmillman	4427
2	noam464	1110
3	HolyVenom	70
4	Jackattack53	44
5	eitanzaki	32
6	groofles	10
6	Blu3beast	10
8	Freak_Genius	9
9	Hyp3rion_	7
10	Fuad_R	6
11	SuperPooch06	5
11	pixelviolin	5
13	Mahoose	4
13	set67	4
13	trixterrx	4
13	kinas45y5	4
17	thescout7	3
17	egglapras	3
17	LeGold	3
17	Blaiku	3
21	Marbz_	2
21	ApophisNova	2
21	PigDab	2
21	fxiryglitch	2
21	Racengan	2
21	SkateboardR6	2
21	lordpipe	2
21	SammiWolfGirl	2
21	MyNamaSheff	2
30	Merv__	1
30	TildaAndrea	1
30	diamondgolem35	1
30	T045RTY	1
30	beeperbeeper5	1
30	elmer1234	1
30	LoboTheLobster	1
30	Blackberry1310	1
30	bloodbiter	1
30	kekhon	1
30	TheThomas69	1
30	_Dean_123	1
30	Fullut	1
30	M_Patata	1
30	Rumpletaezer	1
30	Arceus1975	1
30	Akoot_	1
30	audiocracked	1
30	HellsSponge	1
30	Frozil12	1
30	Xclax101	1
30	DeGodz4life	1
30	Spacewardharpy7	1
30	MasterNueve	1
30	TheEnderman548	1
30	SvenskaHugo	1
30	Kowcio_	1
30	_TCARREIRA_	1
30	jcool7	1
30	laron58	1
30	oxfordschool	1
30	EcksD	1
30	Legendosh	1
30	Sral7	1
30	the_cocos	1
