rank	username	minecraft:dropped/minecraft:blackstone_stairs
1	Hyp3rion_	756
2	FishyBoy3811	192
3	eitanzaki	64
4	noam464	28
5	TheSecondLord	24
6	thewindmillman	19
7	Badenbeele	17
7	lordpipe	17
9	FreakGenius	12
10	MAns_44	8
11	Apollo_993	7
12	beeperbeeper5	5
13	ImpavidArcher	4
13	ITDV	4
13	joethahobo	4
13	EveryonesUncle	4
13	Spacewardharpy7	4
13	_Mythic____	4
19	T045RTY	3
19	Jackattack53	3
19	NomadicRobin_	3
19	luseis	3
19	AdmiralSmoke	3
24	pintsizedrogue	2
25	k_ce	1
25	RebelAndroid	1
25	SquadMonster	1
25	excelsionprime	1
25	lorpus	1
25	Awyrlas	1
25	Racengan	1
25	Nicserso	1
