rank	username	minecraft:dropped/minecraft:big_dripleaf
1	500am	1096
2	ImpavidArcher	128
3	thewindmillman	29
4	luseis	26
5	Hyp3rion_	23
6	gcaisawesome	19
7	YungMaki	17
8	12Magner05	16
9	ECstardust	15
10	AlexxO_o	11
11	Lez_	10
11	Manaateee	10
11	Segotep999	10
11	CattSoup	10
15	beeperbeeper5	8
15	LeEricc	8
17	PlasticOtari	7
17	00000000-0000-0000-0009-01ff0c3e5e4f	7
19	I_Moose	6
20	Kowcio_	5
21	SyntheticSurgeon	4
21	Elastiq	4
23	eitanzaki	3
23	Rebytre	3
23	Skylord_Luke	3
23	LeGold	3
23	LeonelSalamanca	3
23	Spacewardharpy7	3
23	CrazyPotater	3
30	MuffinManzz	2
30	_Razaria	2
30	Alteriity	2
30	Di_infiri	2
30	_Laverne_	2
30	Soplight	2
36	EMC_	1
36	hm947	1
36	rarrq	1
36	Miroryk	1
36	Blackberry1310	1
36	TheSecondLord	1
36	PortlyPete69	1
