rank	username	minecraft:dropped/minecraft:gunpowder
1	Hyp3rion_	6258408
2	thewindmillman	367585
3	EcksD	201891
4	noam464	111969
5	Jackattack53	96476
6	joethahobo	93920
7	Smashic	76120
8	Spacewardharpy7	63202
9	zToasty69z	31555
10	Blaiku	28576
11	eitanzaki	26229
12	Di_infiri	12972
13	_Virify_	8070
14	lordpipe	7795
15	Enderxz3	7180
16	jnp_gaming	6457
17	Elastiq	5860
18	calamariclam_I	4866
19	diamondgolem35	4681
20	Mahoose	4327
21	OreTheBear	4294
22	Lez_	4001
23	emreknugrlu	3961
24	Ezekson	3531
25	Frozil20	3514
26	beeperbeeper5	3384
27	set67	3214
28	PigDab	2674
29	Segotep999	2483
30	SuperPooch06	2444
31	Yamdalorian	2372
32	Kowcio_	2265
33	Masssonnn	2102
34	Eczbek	2052
35	FreakGenius	1978
36	NameGenerat0r	1773
37	vandmanden	1601
38	oscminus	1576
39	Racengan	1541
40	HellsSponge	1472
41	elliebelle107	1419
42	EveryonesUncle	1313
43	rarrq	1280
44	Da_Boss_Rani	1277
45	fffMike	1268
46	k_ce	1244
47	mwrty	1214
48	ConnorDanky_	1192
49	Gus2005	1038
50	SkateboardR6	1003
51	Fuad_R	988
52	_Mythic____	983
53	F_Uhre	907
54	thescout7	869
55	TechnoNinja64	864
56	AstreaTSS	798
57	NomadicRobin_	778
58	Legendosh	734
59	xzvu	719
60	cyrusisntgay	712
61	WYFYoyo	704
62	PlzNoBM	700
63	pixelviolin	673
64	MightyWertu	652
65	Huwulling	639
66	Lord_Jord	611
67	hanaryheatwave	600
68	Hiryu27	583
69	ayamefag	568
70	RebelAndroid	548
70	MilleGrug	548
72	chimpmunker	512
72	CheifJumbo	512
74	ROY4LE	491
75	Skippeh	490
76	Chromary	476
77	SteveCraftBlocks	468
78	HolyVenom	466
79	Alteriity	462
80	GooseWithin	460
81	YungMaki	456
82	Sleek_Storm_721	450
83	El_Jalapeno	447
84	EMC_	438
85	tsitrawhy	415
85	_i_ERROR_i_	415
87	kekhon	414
88	Werbe	407
89	Blu3beast	361
90	Blackberry1310	359
91	AltnumberF4	349
92	jcool7	342
93	Spenduh	304
94	TheSecondLord	290
95	DenizSmille	284
96	Akoot_	281
97	pintsizedrogue	280
97	bloodbiter	280
99	Groovy_MoonBird	278
99	Xclax101	278
101	masskedman	270
102	gcaisawesome	268
103	teslawolf38	267
104	NoobyandApple	258
105	Incinere	255
106	abdomera	254
106	CollinMH06	254
106	Nicserso	254
109	MattieHD	242
109	Tyrannosplart	242
111	AlexxO_o	239
112	Secret_Canary	237
113	Manaateee	235
114	emrekn	232
115	Fullut	220
116	FishisTTV	217
117	Zythose	214
118	ECstardust	209
119	T045RTY	204
120	TheWildMateo	203
121	Boipl	198
122	JohnnyFyes	194
123	Soplight	192
124	SquadMonster	189
125	Mr_Froxy	188
126	IamCL4SSY	187
127	EdGalbraith	186
