rank	username	minecraft:dropped/minecraft:deepslate_bricks
1	thewindmillman	17021
2	mihimihimihi	5860
3	weabis	384
4	LeEricc	292
5	shrimp_flips	251
6	Touched_Bread	179
7	Moofyman	164
8	Meeerkat	112
9	00000000-0000-0000-0009-01ff0c3e5e4f	88
10	Masssonnn	69
11	beeperbeeper5	67
12	Kowcio_	64
13	Weepingbiel	30
14	TheSecondLord	24
15	Hyp3rion_	18
15	RealGroot	18
17	groofles	12
18	Wowful	11
19	SvenskaHugo	10
20	luseis	9
21	ImpavidArcher	8
21	00000000-0000-0000-0009-01f073f37a91	8
23	MrKrabOnCoke	7
24	TheWildMateo	6
24	non089	6
26	AltnumberF4	5
27	PigDab	4
27	Ze_BaronKrigler	4
29	LeDuctTape	3
29	RebelAndroid	3
29	SyntheticSurgeon	3
29	Sleepy_Time_	3
29	Crowman1	3
29	Mattesco	3
29	Luminad3	3
29	Fuad_R	3
37	Lez_	2
37	Cellcorgi649	2
37	Spacewardharpy7	2
37	Enderxz3	2
41	RoskobiOne	1
41	DinoDoctor_	1
41	jessewegottacook	1
41	corvidpartyfor6	1
41	drunkeeez	1
41	CuzIm2Kev	1
41	ItsDeltaMC	1
41	ZoomieZoomie	1
41	Smoke____	1
