rank	username	minecraft:dropped/minecraft:diamond_leggings
1	Hyp3rion_	63
2	pallow	48
3	eitanzaki	34
4	TheSecondLord	22
5	EcksD	20
6	Werbe	19
7	rarrq	18
7	noam464	18
9	Freak_Genius	16
9	jnp_gaming	16
11	Blu3beast	15
12	Groundler	14
12	stahouo	14
14	MattieHD	13
14	Frozil12	13
14	Kyrum2169	13
17	mwrty	12
17	Di_infiri	12
17	djancak	12
20	mimbo1211	11
20	Shogunite	11
20	Blaiku	11
20	monky_irl	11
24	PhantomsGhost_	9
24	gabriels543	9
24	Akoot_	9
27	ImpavidArcher	8
27	kekhon	8
27	__tomato	8
27	kinas45y5	8
31	beeperbeeper5	7
31	chipklip	7
31	Racengan	7
34	_Dean_123	6
34	set67	6
34	WET_WET_WET	6
34	lillips	6
34	Nagasaki_Riku	6
34	YungMaki	6
34	oxfordschool	6
41	Mahoose	5
41	emrekn	5
41	CollinMH06	5
41	Arceus1975	5
41	Bumpy419	5
41	Lord_Jord	5
41	masskedman	5
41	MightyWertu	5
41	geekbird	5
41	Segotep999	5
41	TechnoNinja64	5
52	EMC_	4
52	SaucyDark	4
52	Shadoko_	4
52	Blackberry1310	4
52	CyrusIsTired	4
52	Z3braYTIL	4
52	Ecplosive	4
52	fred870d	4
52	wezzzi	4
52	Gryglu583	4
52	claivin	4
52	ConJaBz	4
52	LeeMcGee30	4
52	cichy096	4
52	FelixPSY375	4
67	Groovy_MoonBird	3
67	ProbablyNick	3
67	dudcreeper	3
67	fanofbands101	3
67	I_Am_Mushkin	3
67	diamondgolem35	3
67	Incinere	3
67	gaziter10	3
67	Euclidoris	3
67	Comma__	3
67	boog4loo	3
67	thescout7	3
67	Inchef	3
67	Mewar	3
67	ApophisNova	3
67	The11thDoctor	3
67	CruncyIsTaken	3
67	ToastedGamingYT	3
67	Sky_light_KING	3
67	gustarbite	3
67	Inbefour	3
67	TheCordicus	3
67	Soap_Bender	3
67	Nycteus_	3
67	censorsheep	3
67	MovingFish7	3
67	lordpipe	3
67	Eraxa	3
67	Kowcio_	3
67	Soplight	3
67	Spenduh	3
67	GlitchyPlate810	3
67	Skippeh	3
67	Ezekson	3
67	MyNamaSheff	3
67	vandmanden	3
103	Krasnal1337	2
103	pintsizedrogue	2
103	HBA00_	2
103	heysushii	2
103	strongman951753	2
103	hollowww	2
103	Merv__	2
103	teslawolf38	2
103	6king6colt6	2
103	joethahobo	2
103	JuuustYeet	2
103	Cryptacity	2
103	Rich_Kat	2
103	ThePoliteG	2
103	G1ldor	2
103	Fullut	2
103	himak1	2
103	ROY4LE	2
103	xxPipperDipperxx	2
103	NotKaden_	2
103	Zaridey	2
103	ImDisconnected_	2
103	Snowflowe	2
103	burbankbuilder28	2
103	GreedyFern8581	2
103	DAD_1996	2
103	Skylord_Luke	2
103	CaptainDeadBread	2
103	xo_Marren_xo	2
103	lizardfightclub	2
103	sxc_	2
103	CrumplyBanjo_	2
103	JESS_THE_RERE	2
103	MyNameIsDakar	2
103	DarlaMeow	2
103	The_slideV3	2
103	fluddd	2
103	Hisiste	2
103	Bonzaidalek	2
103	MakeHistory157	2
103	OG_Songsee	2
103	lcvezra	2
103	ProbsNotNova	2
103	SlimeBOI03	2
103	gaming4Naming	2
103	Steelynan	2
103	Hermanni__	2
103	Kubeusz2010	2
103	laron58	2
103	OfficerAnvil	2
103	Legendosh	2
103	WYFYoyo	2
103	Smoke____	2
103	561cool	2
157	MunkaKris	1
157	_Virify_	1
157	peachfuzz1267	1
157	_NieToksikpl_	1
157	Harotio	1
157	Ninzyyy	1
157	littlesophiagirl	1
157	abramgray	1
157	JEWISHBadenBeele	1
157	Drlzyy	1
157	numbra	1
157	bigstankyy	1
157	Iagoku	1
157	error10101	1
157	GarthWiest	1
157	NotP0tato	1
157	BlancoFlaco	1
157	hm947	1
157	Bad_At_Names_Guy	1
157	Isaac70096	1
157	Furiuosbeast0404	1
157	Wooptey	1
157	wickedword	1
157	T045RTY	1
157	Batman922	1
157	DrogV2	1
157	Reamdin	1
157	awesomeoneme	1
157	NinjaKnifeKill	1
157	5hit455	1
157	fr0stss	1
157	MrAdamant209	1
157	Freebolt	1
157	oreee	1
157	nocturne78	1
157	speenduhXD	1
157	FirsTimeGamingTV	1
157	LoboTheLobster	1
157	heckface	1
157	Sparky_KT	1
157	Valoth	1
157	InfernalMound	1
157	titanlax	1
157	prelutrinae	1
157	Gooberkid223	1
157	Malorn_Aetherius	1
157	Frxnkz	1
157	Auseawesome	1
157	jacxhadow	1
157	bloodbiter	1
157	YungJakobo	1
157	Boboczus	1
157	TheThomas69	1
157	zorin123	1
157	_Nuf	1
157	noodlepack	1
157	Kamflame10	1
157	Nach0Bear	1
157	Mariopreeet	1
157	beeleg	1
157	IforgotCS_Source	1
157	KGTV	1
157	Xalithia	1
157	Diavri	1
157	gcaisawesome	1
157	r123moore	1
157	eiC_	1
157	Kubelz	1
157	eposlul	1
157	XboxPanda	1
157	trixterrx	1
157	Winklepicker279	1
157	fr_ser	1
157	Jackattack53	1
157	SuperPooch06	1
157	Chromary	1
157	Rumpletaezer	1
157	thewindmillman	1
157	wTXop	1
157	_Buffo	1
157	domagawha	1
157	Zayisblack	1
157	Afinnity	1
157	RobotMinion101	1
157	ooga47	1
157	Onennon	1
157	PigDab	1
157	Gmoney390	1
157	victorLIE	1
157	Ender_Souls	1
157	sammidk	1
157	KeruNatsema	1
157	FishyBoy3811	1
157	thgrocks	1
157	RodSerlingCringe	1
157	Maenara	1
157	fw3xywashere	1
157	SpookyDraggin	1
157	OLookItsAnxiety	1
157	NoChumpChange	1
157	fkGrim	1
157	IsabellasOF	1
157	NYJ	1
157	Fuhrer_Teemo	1
157	HwamzUK	1
157	godipose	1
157	YungWali	1
157	UnThinkable2110	1
157	HellsSponge	1
157	Quincannon	1
157	501g	1
157	Travka100	1
157	rezi	1
157	RedcatVII	1
157	Th6masss	1
157	Toriankel	1
157	Spacewardharpy7	1
157	NotMeowMix	1
157	CheifJumbo	1
157	ItsDeltaMC	1
157	Cocoamallows	1
157	Razzgriz	1
157	33sudo	1
157	Optiprimus	1
157	CSG_Haru	1
157	stavgod	1
157	TheEnderman548	1
157	Cliopatra	1
157	Zetsey	1
157	pixelviolin	1
157	yatsuta	1
157	UCP_TheKingK	1
157	starbits140	1
157	SSytex_X	1
157	stellarjay	1
157	SammiWolfGirl	1
157	_Yonk_	1
157	Seindi	1
157	PlzNoBM	1
157	CalebDHawk	1
157	jcool7	1
157	Kferno	1
157	MilleGrug	1
157	ZeroKraken	1
