rank	username	minecraft:dropped/minecraft:red_nether_brick_stairs
1	k_ce	57
2	lillips	38
3	noam464	4
3	Blu3beast	4
5	stavgod	2
5	Eraxa	2
7	Comma__	1
7	Groundler	1
