rank	username	minecraft:dropped/minecraft:poppy
1	thewindmillman	238330
2	Alteriity	158047
3	Hyp3rion_	120625
4	Spacewardharpy7	76112
5	noam464	47918
6	ayamefag	31993
7	Di_infiri	29496
8	Quotary	24512
9	thescout7	22696
10	mihimihimihi	19528
11	HellsSponge	18408
12	non089	18101
13	eitanzaki	17711
14	PigDab	14313
15	Krowuss	13523
16	Werbe	10850
17	Blaiku	10214
18	roworu	8896
19	EMC_	8455
20	MightyWertu	8224
21	Hisiste	7244
22	pixelviolin	6957
23	Mahoose	6190
24	ActualPatbaf	5236
25	Jordan_R	4884
26	07shiny	4507
27	EdGalbraith	4292
28	LovelyDane	4019
29	SkateboardR6	3489
30	DemTechAlpha	3261
31	tuckerdoodle	3238
32	Yamdalorian	2692
33	abdomera	2686
34	yulgur1	2497
35	AstreaTSS	2451
36	MAns_44	2365
37	FreakGenius	2305
38	Ezekson	2251
39	bloodbiter	2153
40	Lez_	2050
41	xxPipperDipperxx	1894
42	excelsionprime	1802
43	Fuad_R	1747
44	Skippeh	1691
45	ApophisNova	1690
45	MyNamaSheff	1690
47	Kakolbus	1679
48	StinkyDiplomat	1472
49	El_Jalapeno	1391
50	TheImperial	1264
51	Jackattack53	1262
52	DanTheBuilderino	1239
53	ClemenPine	1218
54	EngagedGrub41	1174
55	ConnorDanky_	1123
56	RebelAndroid	1104
57	jnp_gaming	1060
58	GravitySaint	1042
59	Sral7	1026
60	Blackberry1310	977
61	beeperbeeper5	972
62	StormPool	960
63	Racengan	815
64	EveryonesUncle	694
65	TechnoNinja64	631
66	Groovy_MoonBird	620
67	kekhon	609
68	Apollo_993	589
69	Elastiq	581
70	Arceus1975	465
71	FiguraDei	462
72	Iagoku	389
73	Quaintster	370
74	audiocracked	366
75	Inbefour	359
76	Ryan_GEMS	336
77	YungMaki	327
78	TruestTurnip	318
79	Skylord_Luke	283
80	skitzxo	278
81	_Nuf	256
82	Wolverine4302	251
83	powercas_gamer	247
84	Onennon	245
85	lorywithay	242
86	PortlyPete69	238
87	lordpipe	237
88	Steelynan	217
89	Sleek_Storm_721	215
90	Jimi7hits	203
91	Cyntrical	198
92	Octatrack	192
93	joethahobo	176
94	Frozil20	172
94	Crowman1	172
96	Manaateee	159
97	PlasticOtari	148
98	luseis	145
99	The_slideV3	140
100	oreee	138
101	12Magner05	131
101	Blu3beast	131
103	IdeallyGrey	130
104	NomadicRobin_	129
105	redikul	122
106	KingMatthew506	118
106	Nicserso	118
108	Uzbeki_John	113
108	Lord_Jord	113
110	Rox_The_Box	112
111	zToasty69z	106
112	DarlaMeow	103
112	xzvu	103
114	PazinGaming	102
115	diamondgolem35	99
116	Synthoum	98
117	Chromary	87
118	ImpavidArcher	86
118	emreknugrlu	86
118	Kowcio_	86
121	Spenduh	84
122	Bumpy419	81
123	500am	80
124	burbankbuilder28	79
125	fluddd	74
126	Niklas20114552	69
126	JETrotter	69
128	Snowflowe	66
129	CoffeeNoir	65
129	Zythose	65
131	Dnulgreb	64
