rank	username	minecraft:dropped/minecraft:golden_apple
1	Hyp3rion_	17865
2	NomadicRobin_	1509
3	ConnorDanky_	835
4	_i_ERROR_i_	815
5	eitanzaki	542
6	joethahobo	509
7	lorpus	293
8	Jackattack53	238
9	luseis	202
10	beeperbeeper5	165
11	500am	157
12	Blaiku	156
13	Di_infiri	152
14	Kowcio_	143
15	PigDab	132
16	emreknugrlu	119
17	TechnoNinja64	109
18	Frozil20	108
19	xxPipperDipperxx	102
20	EcksD	86
21	noam464	82
21	skitzxo	82
23	fade_emerge78823	81
24	Smashic	75
25	SammiWolfGirl	69
26	EMC_	64
27	EdGalbraith	59
28	crashomon	57
29	DenizSmille	48
30	Lez_	47
31	goldyx	45
32	YungMaki	44
33	F_Uhre	41
34	Werbe	40
35	TheSecondLord	38
36	kekhon	36
37	LeEricc	33
38	jnp_gaming	32
39	Segotep999	31
40	Mahoose	30
41	FreakGenius	29
42	I_Am_Mushkin	26
42	Lord_Jord	26
44	KarlKaek	25
44	thewindmillman	25
44	EveryonesUncle	25
47	Auseawesome	24
48	Nach0Bear	22
48	Spacewardharpy7	22
50	SoosAmongus	20
50	thescout7	20
50	Akoot_	20
50	Kyrum2169	20
54	Tyrannosplart	19
54	Dakar_	19
56	AlexxO_o	18
57	mwrty	17
57	Xalithia	17
57	WyngGoy	17
60	k1ngGilgamesh	16
60	taengoos	16
62	Krowuss	15
62	tsitrawhy	15
64	Blackberry1310	14
65	Saucepeh	13
65	Blu3beast	13
67	DAD_1996	11
67	lordpipe	11
67	Kubeusz2010	11
67	Yamdalorian	11
71	ROY4LE	10
71	oscminus	10
71	Inbefour	10
71	claivin	10
71	xzvu	10
76	DinoDoctor_	9
76	RebytreGT	9
76	censorsheep	9
79	Marbz_	8
79	NATE_the_HALO	8
81	teslawolf38	7
81	QuiCreans	7
81	rarrq	7
81	stuy9	7
81	masskedman	7
81	Manaateee	7
81	Hisiste	7
81	cichy096	7
81	AltnumberF4	7
81	annebolyn	7
91	hm947	6
91	iElijahi	6
91	Guillemet	6
91	Soul_Atreus	6
95	pintsizedrogue	5
95	T045RTY	5
95	ZaneABrain	5
95	301851	5
95	MattieHD	5
95	Fullut	5
95	Chromary	5
95	CaptainDeadBread	5
95	fw3xy74	5
95	_Meow_Mix	5
95	Heisenbberrg	5
106	BPTY4618	4
106	PazinGaming	4
106	livingdaydreams	4
106	KomputerDude	4
106	Nicky_H225	4
106	Fullbit_	4
106	groofles	4
106	shrimp_flips	4
106	ThatMan_Dave	4
106	Racengan	4
106	CheifJumbo	4
106	Kura2218	4
106	00000000-0000-0000-0009-01ff0c3e5e4f	4
119	Groovy_MoonBird	3
119	gren_ben	3
119	Flores991	3
119	abdomera	3
119	Alteriity	3
119	Huwulling	3
119	FirsTimeGamingTV	3
119	ProfessorBee	3
119	SteveCraftBlocks	3
119	M_Patata	3
119	CollinMH06	3
119	hanaryheatwave	3
119	belly0_0	3
119	TheShyPig	3
119	EfficientC52	3
119	MasterNueve	3
119	starbits140	3
119	_TCARREIRA_	3
119	_Yonk_	3
119	ProbsNotNova	3
119	jcool7	3
119	MilleGrug	3
119	Enderxz3	3
142	NatalieTW	2
