rank	username	minecraft:dropped/minecraft:iron_axe
1	12Magner05	2001
2	Hyp3rion_	1432
3	Lez_	515
4	beeperbeeper5	481
5	noam464	359
6	Sral7	302
7	Soplight	228
8	Segotep999	195
9	Yamdalorian	168
10	EMC_	156
10	Smashic	156
12	Fuad_R	148
13	FirsTimeGamingTV	144
14	thewindmillman	139
15	Manaateee	132
16	WyngGoy	104
17	Snowflowe	103
17	Mr_Froxy	103
19	hanaryheatwave	98
20	pixelviolin	91
21	Jackattack53	80
22	eitanzaki	70
23	AstreaTSS	61
23	THEKINGLyric10	61
25	Spacewardharpy7	60
26	Werbe	59
27	luseis	50
28	FishisTTV	47
29	Da_Boss_Rani	43
29	Blaiku	43
31	ClemenPine	41
32	OreTheBear	38
33	Synthoum	36
34	RebelAndroid	34
34	Lord_Jord	34
36	gcaisawesome	33
37	_Virify_	30
38	crashomon	29
38	Bumpy419	29
40	HellsSponge	26
41	shineh10	23
41	Fullbit_	23
43	Apollo_993	22
43	TheSecondLord	22
45	SmashingPump	21
45	Ecplosive	21
47	dimondking777	20
47	oscminus	20
49	_Mythic____	19
50	oreee	18
50	Akoot_	18
52	Dan_Scha	17
52	WeebleSock	17
54	Sleepy_Time_	16
54	skitzxo	16
56	pintsizedrogue	15
56	Historical_Sand	15
56	MinttyFressh	15
59	diamondgolem35	14
59	Lord_Zacler	14
59	Kowcio_	14
62	ThePoliteG	13
62	gamerlord1324	13
62	DairyNickel756	13
62	Zoeyfortnite	13
66	excelsionprime	12
66	RebytreGT	12
66	YungMaki	12
66	xzvu	12
70	soundad	11
70	Di_infiri	11
70	Skylord_Luke	11
70	Racengan	11
70	jcool7	11
75	seanitoo	10
75	ApophisNova	10
75	MyNamaSheff	10
75	tompup	10
79	lotarp	9
79	JESS_THE_RERE	9
79	FreakGenius	9
79	SammiWolfGirl	9
79	EcksD	9
84	Frozil20	8
84	KarlKaek	8
84	cheerytomato	8
84	bloodbiter	8
84	Eraxa	8
84	cichy096	8
84	Jimb0nat0r	8
91	Merv__	7
91	ImpavidArcher	7
91	ShedJr_	7
91	joethahobo	7
91	rarrq	7
91	royal_2	7
91	GingerNeutron	7
91	thescout7	7
91	intropass	7
91	Arceus1975	7
91	Tyrannosplart	7
91	mihimihimihi	7
91	FiguraDei	7
91	annebolyn	7
105	Alteriity	6
105	tsohomie	6
105	RIPB0ZO	6
105	Onennon	6
105	Hahaa_0	6
105	ewpunk	6
105	El_Jalapeno	6
105	lordpipe	6
105	Juh1s	6
105	_KuruKuru	6
105	taengoos	6
105	Enderxz3	6
105	TheWickedBird	6
118	Napoleonpancake	5
118	ImNotYuqii	5
118	I_Am_Mushkin	5
118	jessemgaming	5
118	Ryan_GEMS	5
118	Huwulling	5
118	akap47	5
118	Blackberry1310	5
118	_Dean_123	5
118	set67	5
118	Gingayy	5
118	emrekn	5
118	BlueZabu	5
118	Chromary	5
118	_Cloverbelle_	5
118	Vetral1	5
118	fw3xy74	5
118	sufjanlover	5
118	jambvds	5
118	MAns_44	5
118	ThatMan_Dave	5
118	Xclax101	5
118	Gus2005	5
118	RedcatVII	5
118	sp00ky_ghost977	5
118	Razzgriz	5
118	Seindi	5
118	ProbsNotNova	5
118	ConnorDanky_	5
118	Kateesaur	5
148	6king6colt6	4
148	T045RTY	4
148	YairZaki	4
148	Swexti	4
148	MinePowerz	4
148	kekhon	4
148	Sloths_Ender	4
148	Kamflame	4
148	ItzYaBoiPicard	4
148	shadowthemonkey	4
148	PigDab	4
148	Fakiuss	4
148	MankMaestro	4
148	SpouHn	4
148	Toiton	4
148	pretty_pink_reno	4
148	MovingFish7	4
148	monky_irl	4
148	IAmTheWalrus910	4
148	Kyrum2169	4
148	PlzNoBM	4
148	Deguns123	4
148	Kubeusz2010	4
148	Nicserso	4
148	PlasticOtari	4
148	00000000-0000-0000-0009-01fe357de725	4
174	H0UNDFRMH3LL	3
174	j5ylim	3
174	k_ce	3
174	Froste131	3
174	JohnnyFyes	3
174	powercas_gamer	3
174	SaucyDark	3
174	Tolhart	3
174	_Razaria	3
174	SOA1RR	3
174	KomputerDude	3
174	stevewithclout	3
174	IgnoredBee	3
174	SquadMonster	3
174	carloselpapii	3
174	Ozixar	3
174	Tiberonus	3
174	MattieHD	3
174	himak1	3
174	PegLegPete93	3
174	SellyZ	3
174	Touched_Bread	3
174	IceYoung	3
174	SirSpace	3
174	JMK208	3
174	Gamergirl420628	3
174	fenkuu	3
174	JitteryJared2	3
174	U_Mos_	3
174	JETrotter	3
174	ooga47	3
174	Kouridragon	3
174	DeeDeeThonk	3
174	cedric72	3
174	NormanFetus	3
174	lizardfightclub	3
174	BRICS	3
174	EveryonesUncle	3
174	wobn	3
174	DrGrant	3
174	Cyntrical	3
174	Buuck_	3
174	SkateboardR6	3
174	Ze_BaronKrigler	3
174	Majonezzon	3
174	sigmabich	3
174	PortlyPete69	3
174	SpacesickPrism	3
174	alanbleachdemon	3
174	UltraZombie	3
174	Njensen7	3
174	Skippeh	3
174	BreadBacon	3
174	QueenOfDirt	3
174	BiggieDawg	3
174	561cool	3
230	Astronicky	2
230	funeralhome	2
230	NatalieTW	2
230	SpartanNamor	2
230	Mr_Byzantine	2
230	CLG_Kata	2
230	Harotio	2
230	dabloons	2
230	AmmiDesu	2
230	chimpmunker	2
230	Gemstuff	2
230	lcn	2
230	bigstankyy	2
230	ColeSnyder	2
230	BlancoFlaco	2
230	RatatJuice	2
230	Flores991	2
230	tuckerdoodle	2
230	Wooptey	2
230	Rasaq	2
230	the_fireminer	2
230	LagVibes	2
230	Franco093	2
230	ewsophie	2
230	jimintyy	2
230	Natty	2
230	Reamdin	2
230	PhantomBionic	2
230	iElijahi	2
230	Ssor69	2
230	ccormacs	2
230	chlorinex	2
230	Mimiir345	2
230	Cryptacity	2
230	Comma__	2
230	BobDeBouwer1337	2
230	Ravenbie	2
230	rpmm	2
230	corvidpartyfor6	2
230	500am	2
230	Pelbo	2
230	G1ldor	2
230	Fullut	2
230	i2f8x4h8ro	2
230	_witch_craft_	2
230	mrnosetackle	2
230	lorpus	2
230	Inchef	2
230	Mewar	2
230	Septemb3r	2
230	2Stout	2
230	SpicyMeatballs	2
230	HypixelForums	2
230	benediktine1	2
230	Bolete	2
230	XboxPanda	2
230	HoltGrim	2
230	Mobstr	2
230	TableTim	2
230	Nightfigh1	2
230	Kakolbus	2
230	CollinMH06	2
230	Giannism	2
230	caesarleon	2
230	SuperPooch06	2
230	xambsam	2
230	impossibleteapot	2
230	Boipl	2
230	LugusMcGrugus	2
230	Parcc	2
230	kars0n	2
