rank	username	minecraft:dropped/minecraft:light_gray_wool
1	noam464	57079
2	thewindmillman	20883
3	EcksD	17630
4	HellsSponge	7257
5	Freak_Genius	5465
6	Blaiku	2487
7	oxfordschool	1017
8	eitanzaki	886
9	kekhon	865
10	Di_infiri	661
11	PeteO1995	384
12	Inbefour	320
13	lordpipe	206
14	Ezekson	193
15	Quotary	185
16	Frozil12	129
16	Groundler	129
18	ImpavidArcher	128
19	h2p_emrld	100
20	JayToe	96
21	The_slideV3	77
22	TechnoNinja64	71
23	Shogunite	64
23	Eraxa	64
25	KingMatthew506	62
26	beeperbeeper5	55
27	PigDab	50
28	vandmanden	40
29	Natty	33
30	SuperPooch06	24
31	Ashton1242	19
32	BreadBacon	18
33	Arceus1975	17
34	joethahobo	16
35	kinas45y5	14
36	thescout7	13
36	Rumpletaezer	13
36	BlossomOwO	13
39	rarrq	12
39	SteveCraftBlocks	12
39	Fullut	12
39	marumochis	12
43	Lord_Jord	11
44	Blackberry1310	10
44	YungMaki	10
44	Smoke____	10
47	featherflyy	9
47	Blu3beast	9
49	Menthas	8
49	trixterrx	8
49	Leyna3	8
52	bigstankyy	7
52	proxivitoid	7
52	_Karmaa	7
55	EveryonesUncle	6
56	squigglybones	5
56	set67	5
58	PhantomsGhost_	4
58	EMC_	4
58	youhjjhhhjj	4
58	Tjhodskins19	4
58	CollinMH06	4
58	AJplaysMC_	4
58	Skylord_Luke	4
58	yulgur1	4
58	starbits140	4
58	Erased_Identity	4
58	FelixPSY375	4
69	Groovy_MoonBird	3
69	Froste131	3
69	BigBootyHudge	3
69	BlancoFlaco	3
69	Mahoose	3
69	Paintz	3
69	RodSerlingCringe	3
69	Maenara	3
69	IAmTheWalrus910	3
78	pintsizedrogue	2
78	dabloons	2
78	teslawolf38	2
78	DiscardedCE	2
78	T045RTY	2
78	No_u4	2
78	SquadMonster	2
78	TheSecondLord	2
78	Tmb1	2
78	Nach0Bear	2
78	eviltunix	2
78	mimbo1211	2
78	FetteMutter	2
78	Winklepicker279	2
78	Useless_Relic	2
78	burbankbuilder28	2
78	AnnieBathory	2
78	Bumpy419	2
78	Project_MKBRD	2
78	Ender_Souls	2
78	_naturell	2
78	tyraxxx	2
78	Akoot_	2
78	GlitchMixed	2
78	Quaintster	2
78	Bloo2406	2
78	MovingFish7	2
78	babyjimmyneutron	2
78	Ze_BaronKrigler	2
78	Kowcio_	2
78	Spenduh	2
78	PortlyPete69	2
78	sebastiensaborio	2
78	fffMike	2
78	jcool7	2
78	Winston_Ingram	2
78	Njensen7	2
78	Skippeh	2
78	smogfrog	2
78	UrbanPlanner1978	2
78	diggydog67	2
119	Lepthymo	1
119	123louis456	1
119	Merv__	1
119	6king6colt6	1
119	Andrew1139	1
119	Qalech	1
119	Hpdinosaur	1
119	Incinere	1
119	Wooptey	1
119	SailiXX	1
119	jimintyy	1
119	Batman922	1
119	awesomeoneme	1
119	peach0s	1
119	Myszoaz	1
119	Historical_Sand	1
119	Meme25327	1
119	TheFlfthHorseman	1
119	heckface	1
119	AlejandroPH1	1
119	YungJakobo	1
119	m_be9	1
119	ABUSNA1996	1
119	Aatronix1	1
119	leaf26	1
119	MindyDooWho	1
119	Scathra	1
119	mwrty	1
119	Dali1465	1
119	emrekn	1
119	Xalithia	1
119	xxPipperDipperxx	1
119	XboxPanda	1
119	ouija_	1
119	TableTim	1
119	Kakolbus	1
119	Giannism	1
119	MiningPie	1
119	wTXop	1
119	lOlmantschi	1
119	HAIRYCLOUD626	1
119	zielkairos	1
119	Werbe	1
119	fred870d	1
119	TheShyPig	1
119	KeruNatsema	1
119	FishyBoy3811	1
119	LilLizardWizard	1
119	lizardfightclub	1
119	KliBeast21	1
119	AlphaWolfPlaysMC	1
119	NomadicRobin_	1
119	TheSeismicDuck	1
119	masskedman	1
119	Jiminbub	1
119	Mister3z	1
119	sufjanlover	1
119	balin55	1
119	majlin16	1
119	MyNameIsDakar	1
119	NameGenerat0r	1
119	greendemon35	1
119	QueenShuvi	1
119	Warlord324	1
119	NotMeowMix	1
119	sp00ky_ghost977	1
119	33sudo	1
119	LordSpeed37	1
119	plato2066	1
119	Kyrum2169	1
119	Segotep999	1
119	EtherealEspresso	1
119	djancak	1
119	SSytex_X	1
119	SammiWolfGirl	1
119	Luigipunch989	1
119	Moetis	1
119	Dogcorn69420	1
119	skonos	1
119	mawileite	1
119	striker90333	1
119	Rainaldus	1
119	alderban107	1
119	tartanboy	1
119	Aryamanee	1
119	Haadrada	1
119	Enderslayerxz3	1
119	Oxygen16	1
119	MeetTheWollo	1
119	PlasticOtari	1
119	EcksDofficial	1
119	FishisTTV	1
