rank	username	minecraft:dropped/minecraft:end_stone_brick_stairs
1	mwrty	384
2	PigDab	159
3	fkGrim	92
4	eitanzaki	78
5	SpaceGrenadier	64
6	Steelynan	30
7	kekhon	28
8	brofrickcheaters	14
9	ayqq	7
10	Arceus1975	2
11	Mewar	1
11	Spacewardharpy7	1
11	jcool7	1
