rank	username	minecraft:dropped/minecraft:phantom_membrane
1	noam464	1791
2	Frozil20	1010
3	Bumpy419	657
4	PigDab	611
5	RebelAndroid	605
6	Blackberry1310	542
7	Blaiku	538
8	Hyp3rion_	525
9	Steelynan	446
10	Mahoose	437
11	Winklepicker279	433
12	gcaisawesome	424
13	eitanzaki	391
13	Akoot_	391
15	thewindmillman	376
16	YungMaki	321
17	Eraxa	305
18	thescout7	294
19	beeperbeeper5	277
20	SvenskaHugo	267
21	NomadicRobin_	259
22	Di_infiri	253
23	EveryonesUncle	252
23	Racengan	252
25	MilleGrug	250
26	jnp_gaming	243
26	Smoke____	243
28	Arceus1975	233
29	Onennon	229
30	Cowison	228
31	joethahobo	225
32	Spacewardharpy7	209
33	Blu3beast	203
34	kekhon	201
35	Kkanot	191
36	xzvu	188
37	EcksD	187
38	TheSecondLord	182
39	Ezekson	178
40	PhantomsGhost_	171
40	TechnoNinja64	171
42	Fullut	166
43	Snowflowe	163
44	Chromary	156
45	Lez_	150
46	titanlax	141
47	Jovaphobic	137
48	RealGroot	136
49	IamCL4SSY	132
50	Skippeh	126
51	lordpipe	124
52	lillips	122
53	PortlyPete69	118
54	ImpavidArcher	115
54	Groundler	115
56	wTXop	114
57	Mythic1130	113
57	Soplight	113
59	lorpus	106
59	obzii	106
61	Lord_Jord	104
61	Enderxz3	104
63	LilyNova	102
63	Rebytre	102
63	Kowcio_	102
66	drunkeeez	100
66	SkateboardR6	100
68	_Dean_123	98
69	Iamthejo	97
70	_Virify_	95
71	Jackattack53	94
72	Zythose	90
73	Alteriity	89
73	ApophisNova	89
73	MyNamaSheff	89
76	weabis	88
77	fade_emerge78823	84
77	fw3xywashere	84
79	Comma__	83
79	jcool7	83
81	Werbe	81
82	_Nuf	79
83	Incinere	78
83	CoffeeNoir	78
85	burbankbuilder28	76
85	alderban107	76
87	rarrq	74
87	SammiWolfGirl	74
89	NameGenerat0r	73
90	_Karmaa	72
91	paranoid_plant	71
92	EMC_	70
93	emrekn	68
94	youhjjhhhjj	67
95	diamondgolem35	65
95	set67	65
97	ConnorDanky_	64
98	Xalithia	63
99	07shiny	62
100	Mattesco	61
100	MovingFish7	61
102	Kynigito	60
103	Groovy_MoonBird	59
103	ThePoliteG	59
103	Quaintster	59
106	Xclax101	58
107	xolstoi	57
108	prizm_	56
109	KarlKaek	55
109	SaintJosie	55
111	MattieHD	54
111	pixelviolin	54
113	Inbefour	53
113	luseis	53
115	non089	51
115	CalebDHawk	51
117	claivin	50
117	FishisTTV	50
119	MAns_44	49
120	fkGrim	48
120	FreakGenius	48
122	TheOuterCore	46
122	calamariclam_I	46
124	Smashic	45
125	F_Uhre	44
125	Rasmanden	44
125	__tomato	44
128	HellsSponge	43
128	Nicserso	43
130	mihimihimihi	42
131	I_Am_Mushkin	41
131	AuroraSkies	41
131	yulgur1	41
134	Quincannon	40
134	UCP_TheKingK	40
134	vandmanden	40
137	eviltunix	39
137	fluddd	39
139	T045RTY	38
139	Hiryu27	38
139	SSytex_X	38
139	Njensen7	38
139	Sral7	38
144	AlexxO_o	37
144	Hisiste	37
146	Skylord_Luke	36
146	Vellu21	36
148	Maenara	35
149	OverallConcept	34
149	DarlaMeow	34
151	Hpdinosaur	32
151	Da_Boss_Rani	32
151	XboxPanda	32
151	M_Patata	32
151	seramalen	32
151	WyngGoy	32
151	bladeefan2009	32
158	epiksk8erduck	31
159	MrKrabOnCoke	30
159	ProfessorBee	30
159	mwrty	30
159	himak1	30
163	500am	29
163	Aftrbrnr	29
165	Merv__	28
165	Huwulling	28
165	pappaberg	28
165	RobotMinion101	28
165	MasterNueve	28
170	Ssor69	27
170	SteveCraftBlocks	27
170	Tyrannosplart	27
170	tsitrawhy	27
170	gusstationwerker	27
175	MinttyFressh	26
175	Dogcorn69420	26
177	seanitoo	25
177	SmashingPump	25
177	KliBeast21	25
180	SellyZ	24
180	2Stout	24
180	MakeHistory157	24
183	Fuad_R	23
183	KingMatthew506	23
183	Legendosh	23
186	CollinMH06	22
187	SaucyDark	21
187	tuckerdoodle	21
187	Malorn_Aetherius	21
187	Touched_Bread	21
187	Kakolbus	21
187	Dan_Scha	21
187	ZA07	21
187	Elastiq	21
187	masskedman	21
187	Kura2218	21
187	IdeallyGrey	21
198	RoskobiOne	20
198	m_be9	20
198	Awyrlas	20
198	DarkS0L	20
198	RoofTyler	20
198	ayamefag	20
204	q_wq	19
204	Historical_Sand	19
206	6king6colt6	18
206	Vizzoid	18
206	ougstur	18
209	ogoa	17
209	shrimp_flips	17
209	Jordan_R	17
212	PazinGaming	16
212	Gundam_Steven	16
212	Ao_Ken	16
212	Tjhodskins19	16
212	Azmodan_246	16
212	groofles	16
212	binman420	16
212	Jiminbub	16
212	The_slideV3	16
212	Fizznut909	16
212	UrbanPlanningEx	16
223	Myszoaz	15
223	Nicky_H225	15
223	Secret_Canary	15
223	boog4loo	15
223	mimbo1211	15
223	sp00ky_ghost977	15
223	stavgod	15
223	lcvezra	15
223	LeEricc	15
232	Crowman1	14
232	ROY4LE	14
232	TheWildMateo	14
232	Deathkob	14
232	censorsheep	14
232	Cocoamallows	14
232	Jimb0nat0r	14
232	diggydog67	14
240	Ev0luti0nz	13
240	KingFaenor	13
240	Scathra	13
240	Ecplosive	13
240	legal_tax_evader	13
240	HAIRYCLOUD626	13
240	TheTrueClipse	13
240	TheSeismicDuck	13
240	1442	13
240	SingedBread	13
240	ItsDeltaMC	13
240	RadarHz	13
240	AltnumberF4	13
253	peachfuzz1267	12
253	AuroraValkyrie	12
253	Swexti	12
253	MrExplorer	12
253	Mewar	12
253	gabriels543	12
253	Rumpletaezer	12
253	WET_WET_WET	12
253	LexMakesHistory	12
253	marumochis	12
253	Kubeusz2010	12
253	MirielThePastor	12
265	_Huge_Male_	11
265	NinjaKnifeKill	11
265	QuiCreans	11
265	chlorinex	11
265	Euclidoris	11
265	Rich_Kat	11
265	DaviusMaximoose	11
265	The11thDoctor	11
265	_Bguette_	11
265	GlitchyPlate810	11
265	UltraZombie	11
276	Sleek_Storm_721	10
276	bigstankyy	10
276	12Magner05	10
276	Guillemet	10
276	r123moore	10
276	Marbz_	10
276	Leyna3	10
276	MightyWertu	10
276	Vorlice	10
276	Smiguli_	10
276	Eczbek	10
276	Quotary	10
276	BreadBacon	10
276	AstroLightz_	10
276	Powowowow	10
291	ExtraDumb	9
291	Jackster03	9
291	SpaceGrenadier	9
291	Auseawesome	9
291	Cryptacity	9
291	Covalents	9
291	Jeteight	9
291	FishyBoy3811	9
291	HoldThatPee	9
291	wobn	9
