rank	username	minecraft:dropped/minecraft:purple_wool
1	noam464	116869
2	thewindmillman	49618
3	EcksD	16523
4	Hermanni__	7011
5	HellsSponge	5453
6	Hyp3rion_	4645
7	Spacewardharpy7	3477
8	beeperbeeper5	1499
9	eitanzaki	774
10	Blaiku	426
11	joethahobo	226
12	lordpipe	207
13	ShedJr_	192
13	Blu3beast	192
15	Legendosh	180
16	Nycteus_	128
17	500am	80
18	PigDab	68
18	Kowcio_	68
18	Smoke____	68
21	Jovaphobic	64
21	AlexxO_o	64
21	MeanTugger	64
21	Maenara	64
21	Shogunite	64
21	BlighterSupreme	64
21	xolstoi	64
28	Di_infiri	61
28	Afinnity	61
30	Mahoose	44
31	Fullut	37
32	ConnorDanky_	31
33	TechnoNinja64	27
34	TheSecondLord	13
35	MyNameIsDakar	10
35	CalebDHawk	10
37	KarlKaek	8
37	Rumpletaezer	8
37	EveryonesUncle	8
40	heckface	7
41	SquadMonster	6
41	Optiprimus	6
43	pintsizedrogue	5
43	Smashic	5
45	Lez_	4
45	Blackberry1310	4
45	Xclax101	4
45	UCP_TheKingK	4
49	Chromary	3
49	Lord_Jord	3
49	LexMakesHistory	3
49	Soplight	3
53	dopplexd	2
53	ZigzagLily43042	2
53	MattieHD	2
53	Snowflowe	2
53	Inbefour	2
53	_Bguette_	2
53	SpacesickPrism	2
53	Sheldor097	2
61	Historical_Sand	1
61	kekhon	1
61	mimbo1211	1
61	fw3xywashere	1
61	Deerfoot	1
61	geekbird	1
61	YungMaki	1
61	GlitchyPlate810	1
61	Ezekson	1
61	Quotary	1
