rank	username	minecraft:dropped/minecraft:white_wool
1	thewindmillman	334435
2	EcksD	122849
3	noam464	93411
4	Hyp3rion_	19921
5	Freak_Genius	15037
6	Di_infiri	12217
7	Werbe	8456
8	eitanzaki	5699
9	thescout7	5015
10	joethahobo	3967
11	HellsSponge	3237
12	TechnoNinja64	3202
13	CoffeeNoir	2458
14	kekhon	1746
15	lordpipe	1514
16	Blaiku	1320
17	Mahoose	1195
18	seanitoo	1054
19	beeperbeeper5	1029
20	jnp_gaming	860
21	xxPipperDipperxx	785
22	JoCoLi	755
23	Lord_Jord	662
24	Hermanni__	535
25	Ezekson	528
26	Spenduh	524
27	Inbefour	516
28	Kubeusz2010	454
29	Kowcio_	413
30	mariominejedi	390
31	M_Patata	388
31	MasterNueve	388
33	Jonte0599	384
34	groofles	359
35	chipklip	353
35	Enderslayerxz3	353
37	Spacewardharpy7	337
38	Bumpy419	326
39	fffMike	325
40	Quotary	322
41	cichy096	320
42	LeGold	296
43	YungMaki	294
44	Frozil12	290
45	Blu3beast	288
46	fallingemma	279
47	Historical_Sand	259
48	XxCookiequeenxX	256
49	Blackberry1310	221
50	Smoke____	211
51	set67	199
52	error10101	197
53	bloodbiter	193
54	_Virify_	192
55	r123moore	191
56	PigDab	187
57	Lez_	185
57	Skylord_Luke	185
59	AltnumberF4	177
60	lillips	174
61	Quaintster	169
62	Alteriity	161
63	Onennon	158
64	oxfordschool	157
65	Legendosh	156
66	ImpavidArcher	147
67	500am	145
68	Groundler	139
68	stahouo	139
70	whoaluv	136
70	MustaLoordi	136
72	MattieHD	133
73	pintsizedrogue	132
74	itburb	131
75	teslawolf38	130
76	Hail_the_wombat	129
76	anbbang	129
78	Smashic	126
78	The11thDoctor	126
80	calamariclam_I	125
81	kinas45y5	117
82	SuperPooch06	105
82	Chromary	105
84	NameGenerat0r	103
85	Fullut	99
86	dabloons	97
87	RebelAndroid	94
88	Nach0Bear	92
89	Dogcorn69420	91
89	Steelynan	91
91	ItsColin11	90
92	AlexxO_o	85
93	EMC_	84
