rank	username	minecraft:dropped/minecraft:deepslate_tile_slab
1	Hyp3rion_	26047
2	Jackattack53	2311
3	FishisTTV	1472
4	mihimihimihi	308
5	Mattesco	256
6	DairyNickel756	143
7	StinkyDiplomat	132
8	TheBananaKat	128
9	thewindmillman	126
10	LeauVox4921	64
10	Yamdalorian	64
12	Kowcio_	63
13	SquadMonster	45
14	TheSecondLord	34
14	Smashic	34
16	groofles	26
17	k_ce	21
18	beeperbeeper5	18
19	Lez_	16
20	_Huge_Male_	14
21	Fuad_R	10
22	noam464	8
22	lordpipe	8
24	PazinGaming	7
24	Sleepy_Evelyn	7
26	ECstardust	5
26	SOA1RR	5
26	12Magner05	5
26	Gzrdy	5
26	luseis	5
26	NATE_the_HALO	5
32	Huwulling	3
32	rarrq	3
32	Hahaa_0	3
35	Skylord_Luke	2
35	Mr_Sun15	2
35	Manaateee	2
35	SvenskaHugo	2
35	Segotep999	2
35	TheWickedBird	2
41	Apollo_993	1
41	TooPure2	1
41	ImpavidArcher	1
41	Mahoose	1
41	MrKrabOnCoke	1
41	Tersea_	1
41	Crowman1	1
41	MinttyFressh	1
41	excelsionprime	1
41	fragrantmonke444	1
41	Moofyman	1
41	CalebDHawk	1
